Sample	Strain	Treatment	Replicate	Time	bPTR
Sample_1B2_500	B	1	2	500	1.0493879585569985
Sample_0S4_500	S	0	4	500	0.33551445739046293
Sample_1B5_500	B	1	5	500	1.1884274902957357
Sample_0S3_500	S	0	3	500	0.7403874168797159
Sample_2S1_100	S	2	1	100	0.7010640508773255
Sample_2B2_700	B	2	2	700	0.9062001524653912
Sample_0B4_800	B	0	4	800	n/a
Sample_2B5_700	B	2	5	700	0.7224617822204145
Sample_0B3_800	B	0	3	800	0.8845561074620857
Sample_1S1_300	S	1	1	300	0.5027360913916632
Sample_2S3_200	S	2	3	200	0.6461884850434223
Sample_0S1_600	S	0	1	600	0.8439762090483609
Sample_2S4_200	S	2	4	200	0.6376684359248002
Sample_1S5_500	S	1	5	500	3.6725257353991454
Sample_0B3_500	B	0	3	500	0.5130782325104815
Sample_2B1_100	B	2	1	100	0.7305739670873743
Sample_1S2_500	S	1	2	500	1.3175739006977059
Sample_0B4_500	B	0	4	500	1.2947065215439033
Sample_1B4_1000	B	1	4	1000	0.9583332010053542
Sample_1B5_800	B	1	5	800	1.468363754040753
Sample_2S5_700	S	2	5	700	n/a
Sample_1B1_300	B	1	1	300	1.160609913022785
Sample_1B2_800	B	1	2	800	1.3020156644674648
Sample_2S2_700	S	2	2	700	n/a
Sample_2B4_200	B	2	4	200	0.7607123647881434
Sample_2B3_200	B	2	3	200	1.2014167953730797
Sample_0B1_600	B	0	1	600	0.7771207226752805
Sample_1B1_600	B	1	1	600	1.3351905882512447
Sample_2S5_200	S	2	5	200	0.7819454260069508
Sample_2S2_200	S	2	2	200	0.35731948441578243
Sample_2B1_400	B	2	1	400	0.8129067092615819
Sample_0S2_500	S	0	2	500	0.4224996245927646
Sample_1B4_500	B	1	4	500	0.9751444302495168
Sample_0S5_500	S	0	5	500	1.2397952112530368
Sample_1B3_500	B	1	3	500	2.7388389345640025
Sample_1B3_1000	B	1	3	1000	1.5769103670588025
Sample_2B4_700	B	2	4	700	0.8776559042428806
Sample_0B2_800	B	0	2	800	0.8015975351288027
Sample_0B1_300	B	0	1	300	1.2486691175258415
Sample_2B3_700	B	2	3	700	0.8088892034851543
Sample_0B5_800	B	0	5	800	0.966877376737733
Sample_2B2_200	B	2	2	200	0.8966421916420327
Sample_1S1_600	S	1	1	600	1.9943704763329497
