Sample	Strain	Treatment	Replicate	Time	CP020102	CP020103
2B3_300	B	2	3	300	80.48913	66.01681
2B2_300	B	2	2	300	380.9791	305.7291
1B1_900	B	1	1	900	64.52982	75.37034
1S1_600	S	1	1	600	312.5996	669.4855
0B1_1000	B	0	1	1000	62.89088	0.0
1B1_500	B	1	1	500	59.52711	67.00723
0S1_500	S	0	1	500	28.07827	30.24922
2S4_400	S	2	4	400	70.99729	53.44803
2S5_400	S	2	5	400	26.28524	12.5706
2B4_700	B	2	4	700	174.1922	147.0481
2B5_700	B	2	5	700	226.7836	161.1495
0B1_600	B	0	1	600	115.635	0.0
2B2_1000	B	2	2	1000	100.7159	110.9034
1S5_100	S	1	5	100	366.6141	430.7007
1S4_100	S	1	4	100	285.071	314.9517
0B2_500	B	0	2	500	114.6522	92.45484
0B3_500	B	0	3	500	95.1962	38.94279
0B3_900	B	0	3	900	73.40246	14.94569
1B5_200	B	1	5	200	74.50668	32.54842
1B4_200	B	1	4	200	118.7588	74.31765
0S2_600	S	0	2	600	88.21218	14.64895
0S3_600	S	0	3	600	18.33726	16.01312
2S1_300	S	2	1	300	67.30078	62.69067
0S5_200	S	0	5	200	138.4112	53.32444
0S4_200	S	0	4	200	119.3592	24.31316
1B2_600	B	1	2	600	89.116	100.8988
1B3_600	B	1	3	600	168.9021	166.1024
0B5_100	B	0	5	100	437.04	766.8594
0B4_100	B	0	4	100	804.5213	1300.986
1S2_500	S	1	2	500	171.3655	234.589
1S3_500	S	1	3	500	166.2589	262.5412
0S2_400	S	0	2	400	14.673	13.02685
0S3_400	S	0	3	400	105.7751	32.85832
0B2_700	B	0	2	700	63.02495	18.55044
0B3_700	B	0	3	700	92.72948	8.898915
2B4_1000	B	2	4	1000	70.02912	73.83808
1S5_300	S	1	5	300	67.32054	87.44268
1S4_300	S	1	4	300	104.9571	101.4849
1S2_700	S	1	2	700	98.95766	98.98446
1S3_700	S	1	3	700	113.8737	117.1951
2B1_200	B	2	1	200	81.16749	53.32816
0B5_300	B	0	5	300	482.2265	772.9179
0B4_300	B	0	4	300	314.5877	598.489
1B2_800	B	1	2	800	113.0623	136.7692
1B2_400	B	1	2	400	80.15451	27.12761
1B3_400	B	1	3	400	197.4672	147.8756
2S1_100	S	2	1	100	175.4471	117.0486
1B1_700	B	1	1	700	76.22266	104.1522
2S3_200	S	2	3	200	67.19685	42.97852
2S2_200	S	2	2	200	284.6512	99.45369
1S1_400	S	1	1	400	81.27438	36.19379
1B3_1000	B	1	3	1000	122.8243	181.2858
2B3_100	B	2	3	100	244.6856	190.773
2B2_100	B	2	2	100	832.5127	773.246
0B1_400	B	0	1	400	79.76686	4.083429
2B4_500	B	2	4	500	177.9839	75.98487
2B5_500	B	2	5	500	109.6807	17.66605
2S4_600	S	2	4	600	114.4647	81.36066
2S5_600	S	2	5	600	92.5548	48.21232
0S1_700	S	0	1	700	134.7248	157.7588
2B5_900	B	2	5	900	75.77335	77.38263
2B4_900	B	2	4	900	142.3135	160.4999
0B1_800	B	0	1	800	144.6748	1.503865
0S5_400	S	0	5	400	108.9632	63.68487
0S4_400	S	0	4	400	126.3177	50.32348
2S1_500	S	2	1	500	134.654	101.108
1S2_300	S	1	2	300	82.89417	87.69776
1S3_300	S	1	3	300	214.2324	82.63938
2B1_600	B	2	1	600	36.94936	22.77132
0B5_700	B	0	5	700	107.264	21.45664
0B4_700	B	0	4	700	55.10731	39.53623
0B2_300	B	0	2	300	280.9341	476.8831
1B4_800	B	1	4	800	84.00987	86.24984
0B3_300	B	0	3	300	360.9379	460.4802
1B5_800	B	1	5	800	153.4351	210.2596
1S5_700	S	1	5	700	73.16135	107.2667
2B3_1000	B	2	3	1000	66.49592	56.61341
1S4_700	S	1	4	700	42.0671	18.44365
1B5_400	B	1	5	400	51.06494	49.17822
1B4_400	B	1	4	400	102.4091	69.10413
2S4_200	S	2	4	200	216.1474	141.1633
2S5_200	S	2	5	200	188.1352	144.1387
0S1_300	S	0	1	300	76.73914	65.74323
2B5_100	B	2	5	100	473.2086	440.0868
1B4_1000	B	1	4	1000	163.1733	157.9935
2B3_500	B	2	3	500	85.57258	80.51881
2B2_500	B	2	2	500	238.0325	40.77825
2B2_900	B	2	2	900	181.4852	208.9641
2B3_900	B	2	3	900	70.91559	78.3781
1B1_300	B	1	1	300	434.1291	469.7
2S3_600	S	2	3	600	91.36696	39.04547
2S2_600	S	2	2	600	81.89741	1.53688
2B4_300	B	2	4	300	153.7518	78.27564
2B5_300	B	2	5	300	405.8781	330.6308
0B1_200	B	0	1	200	51.94352	15.24117
0S1_100	S	0	1	100	300.0013	393.082
2S3_400	S	2	3	400	148.6409	29.98993
2S2_400	S	2	2	400	73.4074	1.0
1B1_100	B	1	1	100	305.55	171.8789
2B3_700	B	2	3	700	175.9688	136.1886
2B2_700	B	2	2	700	255.5941	221.1612
1S1_200	S	1	1	200	84.7418	29.33335
0B5_500	B	0	5	500	97.08236	52.03205
0B4_500	B	0	4	500	47.44113	60.36504
2B1_400	B	2	1	400	30.39866	22.6059
1S2_100	S	1	2	100	229.5658	195.3384
1S3_100	S	1	3	100	299.7835	437.7757
1B2_1000	B	1	2	1000	150.0798	184.2185
2S1_700	S	2	1	700	120.8186	91.70802
0S5_600	S	0	5	600	107.8619	111.2718
0S4_600	S	0	4	600	94.9805	1.497049
2B1_800	B	2	1	800	106.8921	75.84963
0B4_900	B	0	4	900	220.7879	316.4317
1B2_200	B	1	2	200	178.4624	292.4786
0B5_900	B	0	5	900	117.5388	139.0918
