Day	Flask	Rep	Concentration	WT	spoA
1	1	1	-5	TMTC	TMTC
1	1	2	-5	TMTC	TMTC
1	1	1	-6	112	148
1	1	2	-6	153	104
1	1	1	-7	11	18
1	1	2	-7	21	26
1	2	1	-5	TMTC	TMTC
1	2	2	-5	TMTC	TMTC
1	2	1	-6	89	116
1	2	2	-6	148	151
1	2	1	-7	32	18
1	2	2	-7	23	21
1	3	1	-5	TMTC	TMTC
1	3	2	-5	TMTC	TMTC
1	3	1	-6	137	85
1	3	2	-6	175	122
1	3	1	-7	33	26
1	3	2	-7	23	18
2	1	1	-5	TMTC	TMTC
2	1	2	-5	TMTC	TMTC
2	1	1	-6	52	46
2	1	2	-6	31	44
2	1	1	-7	7	8
2	1	2	-7	3	7
2	2	1	-5	TMTC	TMTC
2	2	2	-5	TMTC	TMTC
2	2	1	-6	31	60
2	2	2	-6	34	65
2	2	1	-7	1	10
2	2	2	-7	8	10
2	3	1	-5	TMTC	TMTC
2	3	2	-5	TMTC	TMTC
2	3	1	-6	33	42
2	3	2	-6	53	49
2	3	1	-7	6	9
2	3	2	-7	1	7
3	1	1	-5	TMTC	TMTC
3	1	2	-5	TMTC	TMTC
3	1	1	-6	26	62
3	1	2	-6	27	60
3	1	1	-7	2	8
3	1	2	-7	2	12
3	2	1	-5	TMTC	TMTC
3	2	2	-5	TMTC	TMTC
3	2	1	-6	17	65
3	2	2	-6	21	68
3	2	1	-7	2	8
3	2	2	-7	3	4
3	3	1	-5	TMTC	TMTC
3	3	2	-5	TMTC	TMTC
3	3	1	-6	19	28
3	3	2	-6	15	41
3	3	1	-7	3	2
3	3	2	-7	0	8
4	1	1	-5	TMTC	TMTC
4	1	2	-5	TMTC	TMTC
4	1	1	-6	7	50
4	1	2	-6	10	62
4	1	1	-7	1	6
4	1	2	-7	3	3
4	2	1	-5	TMTC	TMTC
4	2	2	-5	TMTC	TMTC
4	2	1	-6	11	63
4	2	2	-6	9	55
4	2	1	-7	4	10
4	2	2	-7	1	6
4	3	1	-5	TMTC	TMTC
4	3	2	-5	TMTC	TMTC
4	3	1	-6	15	51
4	3	2	-6	18	45
4	3	1	-7	6	9
4	3	2	-7	2	6
5	1	1	-5	36	TMTC
5	1	2	-5	44	TMTC
5	1	1	-6	6	70
5	1	2	-6	8	56
5	1	1	-7	9	9
5	1	2	-7	8	5
5	2	1	-5	47	TMTC
5	2	2	-5	44	TMTC
5	2	1	-6	6	86
5	2	2	-6	7	50
5	2	1	-7	4	6
5	2	2	-7	5	7
5	3	1	-5	35	TMTC
5	3	2	-5	42	TMTC
5	3	1	-6	4	56
5	3	2	-6	7	37
5	3	1	-7	2	5
5	3	2	-7	3	2
7	1	1	-5	9	TMTC
7	1	2	-5	13	TMTC
7	1	1	-6	2	128
7	1	2	-6	2	156
7	1	1	-7	2	13
7	1	2	-7	5	18
7	2	1	-5	10	TMTC
7	2	2	-5	12	TMTC
7	2	1	-6	4	136
7	2	2	-6	1	148
7	2	1	-7	4	25
7	2	2	-7	6	19
7	3	1	-5	9	TMTC
7	3	2	-5	14	TMTC
7	3	1	-6	20	114
7	3	2	-6	35	116
7	3	1	-7	7	15
7	3	2	-7	7	15
9	1	1	-5	9	TMTC
9	1	2	-5	8	TMTC
9	1	1	-6	9	114
9	1	2	-6	10	103
9	1	1	-7	0	10
9	1	2	-7	1	13
9	2	1	-5	18	TMTC
9	2	2	-5	12	TMTC
9	2	1	-6	5	84
9	2	2	-6	7	59
9	2	1	-7	0	6
9	2	2	-7	1	8
9	3	1	-5	7	TMTC
9	3	2	-5	12	TMTC
9	3	1	-6	21	67
9	3	2	-6	11	84
9	3	1	-7	3	5
9	3	2	-7	2	7
15	1	1	-5	0	0
15	1	2	-5	1	0
15	1	1	-6	0	0
15	1	2	-6	1	0
15	1	1	-7	0	0
15	1	2	-7	0	0
15	2	1	-5	3	0
15	2	2	-5	2	0
15	2	1	-6	1	0
15	2	2	-6	0	0
15	2	1	-7	0	0
15	2	2	-7	0	0
15	3	1	-5	2	4
15	3	2	-5	1	4
15	3	1	-6	0	0
15	3	2	-6	1	0
15	3	1	-7	0	0
15	3	2	-7	0	0
22	1	1	-5	39	88
22	1	2	-5	46	66
22	1	1	-6	3	12
22	1	2	-6	5	8
22	1	1	-7	0	0
22	1	2	-7	0	2
22	2	1	-5	5	74
22	2	2	-5	3	76
22	2	1	-6	5	9
22	2	2	-6	2	6
22	2	1	-7	0	0
22	2	2	-7	0	1
22	3	1	-5	4	TMTC
22	3	2	-5	2	TMTC
22	3	1	-6	18	25
22	3	2	-6	11	27
22	3	1	-7	0	9
22	3	2	-7	0	2
30	1	1	-4	88	27
30	1	2	-4	95	22
30	1	1	-5	11	2
30	1	2	-5	10	3
30	1	1	-6	2	0
30	1	2	-6	2	0
30	2	1	-4	180	74
30	2	2	-4	255	71
30	2	1	-5	31	14
30	2	2	-5	33	15
30	2	1	-6	2	3
30	2	2	-6	3	1
30	3	1	-4	10	22
30	3	2	-4	10	22
30	3	1	-5	0	2
30	3	2	-5	0	0
30	3	1	-6	1	1
30	3	2	-6	1	0
40	1	1	-3	TMTC	TMTC
40	1	2	-3	TMTC	TMTC
40	1	1	-4	92	80
40	1	2	-4	117	50
40	1	1	-5	21	10
40	1	2	-5	16	9
40	2	1	-3	TMTC	14
40	2	2	-3	TMTC	10
40	2	1	-4	90	5
40	2	2	-4	92	4
40	2	1	-5	19	1
40	2	2	-5	16	2
40	3	1	-3	TMTC	TMTC
40	3	2	-3	TMTC	TMTC
40	3	1	-4	14	TMTC
40	3	2	-4	21	TMTC
40	3	1	-5	1	87
40	3	2	-5	2	88
50	1	1	-3	TMTC	TMTC
50	1	2	-3	TMTC	TMTC
50	1	1	-4	153	110
50	1	2	-4	154	104
50	1	1	-5	20	15
50	1	2	-5	24	25
50	2	1	-3	TMTC	TMTC
50	2	2	-3	TMTC	TMTC
50	2	1	-4	179	57
50	2	2	-4	192	59
50	2	1	-5	31	12
50	2	2	-5	32	5
50	3	1	-3	TMTC	TMTC
50	3	2	-3	TMTC	TMTC
50	3	1	-4	TMTC	16
50	3	2	-4	TMTC	19
50	3	1	-5	129	16
50	3	2	-5	139	39
60	1	1	-3	TMTC	24
60	1	2	-3	TMTC	29
60	1	1	-4	204	41
60	1	2	-4	228	52
60	1	1	-5	31	14
60	1	2	-5	35	9
60	2	1	-3	TMTC	4
60	2	2	-3	TMTC	6
60	2	1	-4	TMTC	19
60	2	2	-4	TMTC	14
60	2	1	-5	32	2
60	2	2	-5	36	10
60	3	1	-3	TMTC	TMTC
60	3	2	-3	TMTC	TMTC
60	3	1	-4	TMTC	TMTC
60	3	2	-4	TMTC	TMTC
60	3	1	-5	43	32
60	3	2	-5	54	22
80	1	1	-3	TMTC	13
80	1	2	-3	TMTC	15
80	1	1	-4	196	14
80	1	2	-4	179	12
