	-/-	-/G_00123	-/G_00269	-/G_01380	-/G_01790	-/G_02026	-/G_03126	-/G_04821	-/G_04918	G_00017	G_00025	G_00052	G_00063/-	G_00065	G_00232	G_00268/-	G_00280	G_00291/G_00292	G_00294/G_00295	G_00307/G_00308	G_00323	G_00353/G_00354	G_00387/G_00388	G_00428	G_00477/G_00478	G_00507/G_00508	G_00525	G_00526/G_00527	G_00530	G_00553/G_00554	G_00566/G_00567	G_00587	G_00624	G_00640	G_00675	G_00676	G_00718/G_00719	G_00730/G_00731	G_00795/G_00796	G_00810	G_00840	G_00850	G_00857	G_00880/G_00881	G_00943/G_00944	G_00987/G_00988	G_01057/G_01058	G_01064/G_01065	G_01070	G_01086/G_01087	G_01099	G_01110/G_01111	G_01154	G_01185/G_01186	G_01192	G_01210	G_01260	G_01275/G_01276	G_01299	G_01322	G_01331	G_01375/G_01376	G_01379/-	G_01402	G_01408	G_01416/G_01417	G_01440/G_01441	G_01479/G_01480	G_01544	G_01578	G_01646	G_01654/G_01655	G_01715	G_01716	G_01742/G_01743	G_01746	G_01747	G_01755	G_01794	G_01824	G_01849/G_01850	G_01855	G_01875	G_01876/G_01877	G_01877	G_01891	G_01899	G_01914	G_01917/G_01918	G_01926	G_01965	G_01968/-	G_02017	G_02023	G_02041/G_02042	G_02046/G_02047	G_02101	G_02155	G_02163/G_02164	G_02167	G_02170	G_02177	G_02194	G_02206/G_02207	G_02221/G_02222	G_02226	G_02286	G_02323/G_02324	G_02351	G_02361/G_02362	G_02370	G_02463	G_02523	G_02527	G_02530	G_02530/G_02531	G_02546	G_02582	G_02582/G_02583	G_02587	G_02599	G_02599/G_02600	G_02633/G_02634	G_02647/G_02648	G_02678/G_02679	G_02691/G_02692	G_02725	G_02732	G_02748	G_02777	G_02803/G_02804	G_02804	G_02989/G_02990	G_03013	G_03105/G_03106	G_03137	G_03153/G_03154	G_03167	G_03229	G_03253	G_03253/G_03254	G_03275	G_03300	G_03354/G_03355	G_03379	G_03384	G_03407	G_03426/G_03427	G_03433	G_03442/G_03443	G_03508	G_03560/G_03561	G_03575	G_03582	G_03583/G_03584	G_03601	G_03637/G_03638	G_03641	G_03641/G_03642	G_03665	G_03691	G_03751/G_03752	G_03763	G_03861	G_03872	G_03944	G_04033/G_04034	G_04038	G_04070/G_04071	G_04083	G_04090/G_04091	G_04133	G_04148	G_04160	G_04230	G_04303/G_04304	G_04321	G_04322/G_04323	G_04327	G_04328	G_04366/G_04367	G_04409	G_04430/-	G_04434/G_04435	G_04441	G_04448	G_04459/G_04460	G_04471	G_04472/-	G_04544	G_04546	G_04560/G_04561	G_04561	G_04581	G_04598/G_04599	G_04607/G_04608	G_04624	G_04628/-	G_04629/G_04630	G_04637	G_04652	G_04708	G_04712	G_04714	G_04732	G_04732/G_04733	G_04742/G_04743	G_04750/G_04751	G_04761	G_04816	G_04830	G_04838	G_04870	G_04877	G_04887/G_04888	G_04900/G_04901	G_04901	G_04902	G_04905/G_04906	G_04911	G_04918	G_04918/G_04919	G_04927	G_05004	G_05045/G_05046	G_05075	G_05075/G_05076	G_05097	G_05122	G_05148	G_05250/G_05251	G_05279	G_05287	G_05303	G_05317	G_05322	G_05328/G_05329
frequency_L0F3_D200	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	9	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	1	0	0	0	0	2	2	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	7	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
frequency_L0F4_D300	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	7	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	2	1	0	1	0	0	0	0	0	0	1	7	0	2	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	3	1	0	0	0	0	0	2	0	1	1	0	0	0	0	0	1	0	0	1	0
frequency_L0F3_D100	0	0	0	0	0	3	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	7	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	1	1	0	0	1	0	0
frequency_L0F2_D300	8	0	0	2	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	4	1	1	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	7	0	0	0	0	0	1	2	0	0	2	0	0	1	8	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	6	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	13	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
frequency_L0F4_D100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
frequency_L1F2_D100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L1F3_D100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L0F5_D100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L1F3_D200	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
frequency_L1F4_D100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
