	B4U62_00245	B4U62_00245/B4U62_00250	B4U62_00815	B4U62_01310	B4U62_02560	B4U62_03215	B4U62_04580	B4U62_04790	B4U62_05145	B4U62_05420	B4U62_05750	B4U62_05800	B4U62_06090	B4U62_06325/B4U62_06330	B4U62_06330	B4U62_06335	B4U62_06340	B4U62_06345	B4U62_06350	B4U62_06385	B4U62_07650	B4U62_07685	B4U62_07750	B4U62_08575	B4U62_08870	B4U62_08900	B4U62_09050	B4U62_09360	B4U62_09735	B4U62_09960	B4U62_09975	B4U62_10035	B4U62_10530	B4U62_10770	B4U62_11625	B4U62_12375	B4U62_15150	B4U62_15165	B4U62_16515	B4U62_17055	B4U62_17065	B4U62_17655	B4U62_17980	B4U62_18305	B4U62_18315/B4U62_18320	B4U62_18325	B4U62_18360	B4U62_18400
frequency_L0S4_D100	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
frequency_L0S5_D100	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
frequency_L2S2_D100	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L2S5_D100	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L1S5_D100	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L1S4_D100	4	0	1	0	2	1	0	3	1	0	2	1	2	0	0	0	0	1	0	1	2	1	1	1	0	0	2	1	1	0	1	2	1	2	2	2	2	1	0	1	2	0	1	0	0	0	2	2
frequency_L0S3_D100	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0
frequency_L2S3_D100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L0S1_D100	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L2S1_D100	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
frequency_L2S4_D100	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L0S2_D100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
frequency_L1S2_D100	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L1S1_D100	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
frequency_L1S3_D100	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
