Pop	Day	Time_hours	Rep	All	Spores	Vegetative	Vegetative_percent
0B1	100	0	A	6.90E+08	0.00E+00	6.90E+08	1.000
0B1	100	12	A	1.60E+07	0.00E+00	1.60E+07	1.000
0B1	100	24	A	7.00E+06	0.00E+00	7.00E+06	1.000
0B1	100	36	A	1.44E+07	0.00E+00	1.44E+07	1.000
0B1	100	48	A	1.65E+07	0.00E+00	1.65E+07	1.000
0B1	100	60	A	1.80E+07	0.00E+00	1.80E+07	1.000
0B1	100	72	A	2.46E+07	0.00E+00	2.46E+07	1.000
0B1	100	96	A	2.78E+07	1.05E+05	2.77E+07	0.996
0B1	100	120	A	3.52E+07	4.50E+05	3.48E+07	0.987
0B1	100	144	A	2.57E+07	4.30E+05	2.53E+07	0.983
0B1	100	168	A	2.95E+07	4.90E+05	2.90E+07	0.983
0B1	100	192	A	2.45E+07	3.20E+05	2.42E+07	0.987
0B1	100	216	A	17600000	260000	17340000	0.985227273
0B1	100	240	A	6000000	570000	5430000	0.905
0B1	100	264	A	6100000	430000	5670000	0.929508197
0B1	100	288	A	2140000	490000	1650000	0.771028037
0B1	100	360	A	1220000	300000	920000	0.754098361
0B1	100	408	A	1390000	300000	1090000	0.784172662
0B1	100	432	A	1410000	370000	1040000	0.737588652
0B1	100	456	A	1350000	520000	830000	0.614814815
0B1	100	480	A	1680000	460000	1220000	0.726190476
0B1	100	504	A	1090000	390000	700000	0.642201835
0B1	100	528	A	1200000	370000	830000	0.691666667
0B1	100	552	A	1000000	460000	540000	0.54
0B1	100	576	A	1080000	380000	700000	0.648148148
0B1	100	600	A	930000	430000	500000	0.537634409
0B1	100	0	B	7.00E+08	0.00E+00	7.00E+08	1.000
0B1	100	12	B	2.80E+07	0.00E+00	2.80E+07	1.000
0B1	100	24	B	6.50E+06	0.00E+00	6.50E+06	1.000
0B1	100	36	B	1.36E+07	0.00E+00	1.36E+07	1.000
0B1	100	48	B	1.59E+07	0.00E+00	1.59E+07	1.000
0B1	100	60	B	1.80E+07	0.00E+00	1.80E+07	1.000
0B1	100	72	B	2.20E+07	0.00E+00	2.20E+07	1.000
0B1	100	96	B	2.59E+07	3.40E+04	2.59E+07	0.999
0B1	100	120	B	3.38E+07	3.30E+05	3.35E+07	0.990
0B1	100	144	B	3.14E+07	3.00E+05	3.11E+07	0.990
0B1	100	168	B	2.95E+07	3.80E+05	2.91E+07	0.987
0B1	100	192	B	2.39E+07	3.40E+05	2.36E+07	0.986
0B1	100	216	B	2.24E+07	4.00E+05	2.20E+07	0.982
0B1	100	240	B	4.00E+06	5.30E+05	3.47E+06	0.868
0B1	100	264	B	6.40E+06	3.50E+05	6.05E+06	0.945
0B1	100	288	B	3.82E+06	2.50E+05	3.57E+06	0.935
0B1	100	360	B	1.26E+06	3.80E+05	8.80E+05	0.698
0B1	100	408	B	1.41E+06	3.70E+05	1.04E+06	0.738
0B1	100	432	B	1.27E+06	5.60E+05	7.10E+05	0.559
0B1	100	456	B	1.80E+06	2.30E+05	1.57E+06	0.872
0B1	100	480	B	1.56E+06	6.20E+05	9.40E+05	0.603
0B1	100	504	B	1.33E+06	3.50E+05	9.80E+05	0.737
0B1	100	528	B	1.13E+06	4.00E+05	7.30E+05	0.646
0B1	100	552	B	1.43E+06	3.00E+05	1.13E+06	0.790
0B1	100	576	B	2.05E+06	5.60E+05	1.49E+06	0.727
0B1	100	600	B	2.60E+06	4.10E+05	2.19E+06	0.842
0B1	100	0	C	5.40E+08	0.00E+00	5.40E+08	1.000
0B1	100	12	C	1.00E+07	0.00E+00	1.00E+07	1.000
0B1	100	24	C	8.70E+06	0.00E+00	8.70E+06	1.000
0B1	100	36	C	1.59E+07	0.00E+00	1.59E+07	1.000
0B1	100	48	C	1.70E+07	0.00E+00	1.70E+07	1.000
0B1	100	60	C	1.99E+07	0.00E+00	1.99E+07	1.000
0B1	100	72	C	2.33E+07	0.00E+00	2.33E+07	1.000
0B1	100	96	C	3.03E+07	7.50E+04	3.02E+07	0.998
0B1	100	120	C	3.40E+07	3.70E+05	3.36E+07	0.989
0B1	100	144	C	3.08E+07	4.20E+05	3.04E+07	0.986
0B1	100	168	C	2.72E+07	3.00E+05	2.69E+07	0.989
0B1	100	192	C	2.32E+07	3.10E+05	2.29E+07	0.987
0B1	100	216	C	1.07E+07	3.80E+05	1.03E+07	0.964
0B1	100	240	C	3.60E+06	5.20E+05	3.08E+06	0.856
0B1	100	264	C	2.40E+06	4.30E+05	1.97E+06	0.821
0B1	100	288	C	9.60E+05	4.20E+05	5.40E+05	0.563
0B1	100	360	C	1.63E+06	4.90E+05	1.14E+06	0.699
0B1	100	408	C	1.64E+06	5.20E+05	1.12E+06	0.683
0B1	100	432	C	1.68E+06	3.40E+05	1.34E+06	0.798
0B1	100	456	C	1.83E+06	4.20E+05	1.41E+06	0.770
0B1	100	480	C	1.87E+06	4.10E+05	1.46E+06	0.781
0B1	100	504	C	1.05E+06	3.70E+05	6.80E+05	0.648
0B1	100	528	C	1.12E+06	5.40E+05	5.80E+05	0.518
0B1	100	552	C	9.20E+05	3.80E+05	5.40E+05	0.587
0B1	100	576	C	8.60E+05	4.00E+05	4.60E+05	0.535
0B1	100	600	C	9.10E+05	4.10E+05	5.00E+05	0.549
0B1	100	0	D	5.70E+08	0.00E+00	5.70E+08	1.000
0B1	100	12	D	1.30E+07	0.00E+00	1.30E+07	1.000
0B1	100	24	D	8.60E+06	0.00E+00	8.60E+06	1.000
0B1	100	36	D	1.21E+07	0.00E+00	1.21E+07	1.000
0B1	100	48	D	2.00E+06	0.00E+00	2.00E+06	1.000
0B1	100	60	D	2.07E+07	0.00E+00	2.07E+07	1.000
0B1	100	72	D	2.78E+07	0.00E+00	2.78E+07	1.000
0B1	100	96	D	2.16E+07	2.01E+05	2.14E+07	0.991
0B1	100	120	D	3.21E+07	5.00E+05	3.16E+07	0.984
0B1	100	144	D	2.44E+07	3.50E+05	2.41E+07	0.986
0B1	100	168	D	2.70E+07	3.30E+05	2.67E+07	0.988
0B1	100	192	D	2.51E+07	3.70E+05	2.47E+07	0.985
0B1	100	216	D	1.31E+07	4.30E+05	1.27E+07	0.967
0B1	100	240	D	4.80E+06	5.80E+05	4.22E+06	0.879
0B1	100	264	D	3.50E+06	4.90E+05	3.01E+06	0.860
0B1	100	288	D	1.12E+06	4.50E+05	6.70E+05	0.598
0B1	100	360	D	1.43E+06	4.50E+05	9.80E+05	0.685
0B1	100	408	D	1.42E+06	4.70E+05	9.50E+05	0.669
0B1	100	432	D	1.62E+06	5.40E+05	1.08E+06	0.667
0B1	100	456	D	1.81E+06	4.40E+05	1.37E+06	0.757
0B1	100	480	D	1.82E+06	5.80E+05	1.24E+06	0.681
0B1	100	504	D	1.43E+06	4.40E+05	9.90E+05	0.692
0B1	100	528	D	1.29E+06	5.00E+05	7.90E+05	0.612
0B1	100	552	D	1.05E+06	4.60E+05	5.90E+05	0.562
0B1	100	576	D	8.10E+05	5.10E+05	3.00E+05	0.370
0B1	100	600	D	7.20E+05	3.50E+05	3.70E+05	0.514
2B1	100	0	A	3.60E+07	0.00E+00	3.60E+07	1.000
2B1	100	12	A	1.20E+07	0.00E+00	1.20E+07	1.000
2B1	100	24	A	9.20E+06	0.00E+00	9.20E+06	1.000
2B1	100	36	A	1.17E+07	5.80E+04	1.16E+07	0.995
2B1	100	48	A	1.65E+07	4.20E+05	1.61E+07	0.975
2B1	100	60	A	1.48E+07	7.00E+05	1.41E+07	0.953
2B1	100	72	A	1.29E+07	9.10E+05	1.20E+07	0.929
2B1	100	96	A	1.00E+07	8.40E+05	9.16E+06	0.916
2B1	100	120	A	4.10E+06	8.90E+05	3.21E+06	0.783
2B1	100	144	A	3.18E+06	1.13E+06	2.05E+06	0.645
2B1	100	168	A	2.10E+06	9.30E+05	1.17E+06	0.557
2B1	100	192	A	2.54E+06	1.15E+06	1.39E+06	0.547
2B1	100	216	A	2.00E+06	9.10E+05	1.09E+06	0.545
2B1	100	240	A	1.99E+06	1.26E+06	7.30E+05	0.367
2B1	100	264	A	2.03E+06	1.02E+06	1.01E+06	0.498
2B1	100	288	A	1.98E+06	8.80E+05	1.10E+06	0.556
2B1	100	312	A	2.53E+06	9.90E+05	1.54E+06	0.609
2B1	100	336	A	2.10E+06	1.19E+06	9.10E+05	0.433
2B1	100	360	A	2.20E+06	1.13E+06	1.07E+06	0.486
2B1	100	384	A	2.33E+06	1.14E+06	1.19E+06	0.511
2B1	100	408	A	2.00E+06	1.09E+06	9.10E+05	0.455
2B1	100	432	A	2.52E+06	1.06E+06	1.46E+06	0.579
2B1	100	456	A	1.80E+06	8.10E+05	9.90E+05	0.550
2B1	100	480	A	2.40E+06	9.70E+05	1.43E+06	0.596
2B1	100	504	A	2.20E+06	1.15E+06	1.05E+06	0.477
2B1	100	528	A	2.29E+06	1.21E+06	1.08E+06	0.472
2B1	100	576	A	1.80E+06	1.14E+06	6.60E+05	0.367
2B1	100	600	A	2.02E+06	1.05E+06	9.70E+05	0.480
2B1	100	0	B	1.94E+08	0.00E+00	1.94E+08	1.000
2B1	100	12	B	1.50E+07	0.00E+00	1.50E+07	1.000
2B1	100	24	B	1.31E+08	0.00E+00	1.31E+07	1.000
2B1	100	36	B	1.25E+07	8.00E+04	1.24E+07	0.994
2B1	100	48	B	1.39E+07	4.85E+05	1.34E+07	0.965
2B1	100	60	B	1.20E+07	7.00E+05	1.13E+07	0.942
2B1	100	72	B	9.60E+06	9.10E+05	8.69E+06	0.905
2B1	100	96	B	5.70E+06	7.80E+05	4.92E+06	0.863
2B1	100	120	B	4.50E+06	1.11E+06	3.39E+06	0.753
2B1	100	144	B	3.03E+06	1.08E+06	1.95E+06	0.644
2B1	100	168	B	2.20E+06	7.00E+05	1.50E+06	0.682
2B1	100	192	B	2.40E+06	1.03E+06	1.37E+06	0.571
2B1	100	216	B	2.40E+06	8.50E+05	1.55E+06	0.646
2B1	100	240	B	2.01E+06	1.48E+06	5.30E+05	0.264
2B1	100	264	B	2.29E+06	1.22E+06	1.07E+06	0.467
2B1	100	288	B	2.21E+06	1.07E+06	1.14E+06	0.516
2B1	100	312	B	2.18E+06	1.02E+06	1.16E+06	0.532
2B1	100	336	B	2.48E+06	1.27E+06	1.21E+06	0.488
2B1	100	360	B	2.05E+06	1.13E+06	9.20E+05	0.449
2B1	100	384	B	2.77E+06	1.22E+06	1.55E+06	0.560
2B1	100	408	B	2.34E+06	9.70E+05	1.37E+06	0.585
2B1	100	432	B	2.30E+06	1.11E+06	1.19E+06	0.517
2B1	100	456	B	1.89E+06	9.90E+05	9.00E+05	0.476
2B1	100	480	B	2.80E+06	1.23E+06	1.57E+06	0.561
2B1	100	504	B	2.17E+06	1.22E+06	9.50E+05	0.438
