Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
FFJ24_RS05345, WP_138823247.1, , 2218.3, 4, 0.66, 1.60, 5.35119
FFJ24_RS06605, WP_138823682.1, , 1896.0, 4, 0.57, 1.87, 5.90387
FFJ24_RS09040, WP_138821194.1, , 1938.7, 4, 0.58, 1.83, 5.82478
FFJ24_RS14015, WP_138822378.1, , 2456.3, 4, 0.73, 1.44, 4.99895
FFJ24_RS25550, WP_138819976.1, uvrA, 2402.0, 4, 0.72, 1.48, 5.07574
FFJ24_RS01650, WP_138820839.1, , 2544.7, 3, 0.76, 1.05, 3.17545
FFJ24_RS03660, WP_138822659.1, , 941.7, 3, 0.28, 2.82, 5.80864
FFJ24_RS03975, WP_138822774.1, , 1274.0, 3, 0.38, 2.09, 4.97507
FFJ24_RS05975, WP_138823468.1, , 1314.7, 3, 0.39, 2.02, 4.88965
FFJ24_RS06445, WP_138823632.1, , 1884.0, 3, 0.56, 1.41, 3.93456
FFJ24_RS06810, WP_138823764.1, , 1018.0, 3, 0.30, 2.61, 5.59173
FFJ24_RS08915, WP_138821172.1, zwf, 1237.3, 3, 0.37, 2.15, 5.0547
FFJ24_RS11015, WP_138821548.1, , 1032.3, 3, 0.31, 2.58, 5.55304
FFJ24_RS11335, WP_138821606.1, , 920.0, 3, 0.27, 2.89, 5.87379
FFJ24_RS12475, WP_138821798.1, , 1664.0, 3, 0.50, 1.60, 4.25919
FFJ24_RS12860, WP_138821872.1, , 2472.7, 3, 0.74, 1.08, 3.24608
FFJ24_RS15420, WP_138818060.1, , 902.0, 3, 0.27, 2.95, 5.92909
FFJ24_RS15730, WP_138820724.1, , 1415.7, 3, 0.42, 1.88, 4.68974
FFJ24_RS18250, WP_138818580.1, , 10129.0, 3, 3.02, 0.26, 0.541353
FFJ24_RS19155, WP_138818783.1, , 5151.3, 3, 1.54, 0.52, 1.6064
FFJ24_RS19385, WP_138818819.1, feoB, 1657.3, 3, 0.49, 1.60, 4.26983
FFJ24_RS19660, WP_138820762.1, , 1153.0, 3, 0.34, 2.31, 5.24787
FFJ24_RS21080, WP_138819124.1, , 2513.7, 3, 0.75, 1.06, 3.20556
FFJ24_RS21105, WP_138819129.1, , 2589.3, 3, 0.77, 1.03, 3.1329
FFJ24_RS24680, WP_138819750.1, , 1421.3, 3, 0.42, 1.87, 4.67912
FFJ24_RS25810, WP_138820055.1, , 1447.0, 3, 0.43, 1.84, 4.63098
