Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
B4U62_RS09345, WP_003245563.1, , 11836.7, 6, 3.20, 0.37, 2.24919
B4U62_RS01025, WP_003234986.1, , 1199.0, 4, 0.32, 2.42, 7.94142
B4U62_RS02030, WP_010886402.1, , 8424.3, 4, 2.28, 0.34, 1.62869
B4U62_RS02035, WP_010886403.1, , 8326.7, 4, 2.25, 0.35, 1.65611
B4U62_RS02480, WP_003246569.1, , 1408.0, 4, 0.38, 2.06, 7.34335
B4U62_RS09360, WP_010886514.1, , 12904.3, 4, 3.49, 0.22, 0.774208
B4U62_RS20695, WP_003242515.1, , 1155.0, 4, 0.31, 2.51, 8.08155
B4U62_RS00335, WP_003243453.1, mfd, 2822.0, 3, 0.76, 0.77, 3.16388
B4U62_RS01935, WP_003234637.1, , 2005.7, 3, 0.54, 1.08, 4.02839
B4U62_RS02250, WP_003234459.1, , 1016.0, 3, 0.27, 2.14, 5.87228
B4U62_RS02495, WP_003234364.1, , 1123.7, 3, 0.30, 1.94, 5.59154
B4U62_RS03535, WP_003234045.1, , 2063.0, 3, 0.56, 1.05, 3.95517
B4U62_RS06445, WP_003232910.1, , 1506.0, 3, 0.41, 1.44, 4.78916
B4U62_RS07905, WP_003232362.1, , 1411.0, 3, 0.38, 1.54, 4.96576
B4U62_RS09525, WP_003245299.1, , 628.3, 3, 0.17, 3.46, 7.23638
B4U62_RS09960, WP_009967354.1, , 8595.0, 3, 2.32, 0.25, 0.890758
B4U62_RS09965, WP_009967356.1, , 6052.3, 3, 1.64, 0.36, 1.48664
B4U62_RS10360, WP_004399481.1, , 1554.7, 3, 0.42, 1.40, 4.70335
B4U62_RS12035, WP_003230718.1, , 1630.3, 3, 0.44, 1.33, 4.57589
B4U62_RS14935, WP_004398529.1, spoVB, 1191.7, 3, 0.32, 1.82, 5.42884
B4U62_RS17035, WP_003228842.1, , 846.0, 3, 0.23, 2.57, 6.38757
B4U62_RS17270, WP_009968094.1, , 5611.0, 3, 1.52, 0.39, 1.63224
B4U62_RS19285, WP_003243594.1, , 2199.7, 3, 0.59, 0.99, 3.78958
B4U62_RS20295, WP_003242568.1, , 950.7, 3, 0.26, 2.29, 6.05851
