Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
FFI16_RS29450, WP_138813574.1, , 1736.7, 11, 0.28, 5.13, 31.5846
FFI16_RS02480, WP_138814012.1, , 797.7, 10, 0.13, 10.15, 35.5684
FFI16_RS17740, WP_138816121.1, , 2090.3, 10, 0.34, 3.87, 26.1273
FFI16_RS06995, WP_138814670.1, , 1105.3, 9, 0.18, 6.59, 28.3401
FFI16_RS10985, WP_138815305.1, , 862.7, 9, 0.14, 8.44, 30.5346
FFI16_RS17145, WP_017136240.1, gcl, 1450.7, 9, 0.24, 5.02, 25.9436
FFI16_RS18050, WP_138816171.1, , 793.0, 9, 0.13, 9.19, 31.2826
FFI16_RS24025, WP_138817105.1, , 2065.0, 9, 0.34, 3.53, 22.8562
FFI16_RS00860, WP_138813806.1, carB, 2557.3, 8, 0.42, 2.53, 17.9326
FFI16_RS02215, WP_026013894.1, trmD, 573.0, 8, 0.09, 11.30, 29.6109
FFI16_RS06200, WP_138814540.1, , 885.7, 8, 0.15, 7.31, 26.1725
FFI16_RS12400, WP_138817592.1, , 4879.7, 8, 0.80, 1.33, 13.0995
FFI16_RS15460, WP_138815569.1, , 678.7, 8, 0.11, 9.54, 28.272
FFI16_RS19945, WP_065928976.1, , 628.3, 8, 0.10, 10.31, 28.8819
FFI16_RS13015, WP_138817486.1, , 1083.0, 7, 0.18, 5.23, 20.7816
FFI16_RS15085, WP_138815627.1, , 848.7, 7, 0.14, 6.68, 22.4546
FFI16_RS27905, WP_138813362.1, ppk1, 1706.3, 7, 0.28, 3.32, 17.6885
FFI16_RS28460, WP_138813430.1, , 1276.7, 7, 0.21, 4.44, 19.6575
FFI16_RS03975, WP_138814229.1, , 2569.0, 6, 0.42, 1.89, 12.1286
FFI16_RS04595, WP_056861597.1, , 352.3, 6, 0.06, 13.79, 23.7393
FFI16_RS04830, WP_138814352.1, , 2034.7, 6, 0.33, 2.39, 13.4531
FFI16_RS05280, WP_138814422.1, , 1072.0, 6, 0.18, 4.53, 17.1634
FFI16_RS07950, WP_138814815.1, , 2530.0, 6, 0.41, 1.92, 12.215
FFI16_RS09995, WP_138815400.1, , 7911.0, 6, 1.30, 0.61, 6.11828
