	CCNA_00010	CCNA_00013	CCNA_00019	CCNA_00026	CCNA_00028	CCNA_00033	CCNA_00043	CCNA_00048	CCNA_00077	CCNA_00084	CCNA_00086	CCNA_00089	CCNA_00128	CCNA_00133	CCNA_00159	CCNA_00196	CCNA_00253	CCNA_00257	CCNA_00268	CCNA_00273	CCNA_00283	CCNA_00336	CCNA_00341	CCNA_00342	CCNA_00357	CCNA_00456	CCNA_00506	CCNA_00520	CCNA_00536	CCNA_00537	CCNA_00597	CCNA_00651	CCNA_00659	CCNA_00677	CCNA_00682/CCNA_00683	CCNA_00694	CCNA_00721	CCNA_00737	CCNA_00749/CCNA_00750	CCNA_00773	CCNA_00796	CCNA_00850	CCNA_00851	CCNA_00851/CCNA_00852	CCNA_00852	CCNA_00857	CCNA_00899	CCNA_00922	CCNA_00962	CCNA_00963/CCNA_00964	CCNA_00964/CCNA_00965	CCNA_00965	CCNA_00968/CCNA_00969	CCNA_01008	CCNA_01010	CCNA_01029	CCNA_01050	CCNA_01086	CCNA_01123	CCNA_01141	CCNA_01163	CCNA_01196	CCNA_01256	CCNA_01296	CCNA_01312	CCNA_01313	CCNA_01323	CCNA_01328	CCNA_01330	CCNA_01381	CCNA_01405/CCNA_01406	CCNA_01419	CCNA_01467	CCNA_01496	CCNA_01504	CCNA_01522	CCNA_01549	CCNA_01563/CCNA_01566	CCNA_01613	CCNA_01615	CCNA_01622	CCNA_01669	CCNA_01692	CCNA_01763	CCNA_01782	CCNA_01808	CCNA_01884	CCNA_01899	CCNA_01969	CCNA_02000	CCNA_02007	CCNA_02016	CCNA_02017	CCNA_02018	CCNA_02024	CCNA_02032	CCNA_02037	CCNA_02039	CCNA_02041	CCNA_02052	CCNA_02054	CCNA_02109	CCNA_02149	CCNA_02155	CCNA_02156	CCNA_02194	CCNA_02204	CCNA_02258	CCNA_02261	CCNA_02357	CCNA_02456/CCNA_02457	CCNA_02459	CCNA_02553	CCNA_02576	CCNA_02577/CCNA_02578	CCNA_02586	CCNA_02596	CCNA_02607	CCNA_02612	CCNA_02623	CCNA_02673	CCNA_02681	CCNA_02704	CCNA_02753	CCNA_02811	CCNA_02845	CCNA_02867	CCNA_02876/CCNA_02878	CCNA_02881	CCNA_02905/CCNA_02906	CCNA_02925	CCNA_02945	CCNA_02961	CCNA_02980	CCNA_02994	CCNA_03037	CCNA_03048	CCNA_03076	CCNA_03115	CCNA_03123/CCNA_03124	CCNA_03130	CCNA_03139	CCNA_03142	CCNA_03161/CCNA_03162	CCNA_03164	CCNA_03184	CCNA_03195	CCNA_03225	CCNA_03245	CCNA_03292	CCNA_03299	CCNA_03304	CCNA_03317	CCNA_03322	CCNA_03323	CCNA_03334	CCNA_03435	CCNA_03449	CCNA_03483	CCNA_03517	CCNA_03524	CCNA_03533	CCNA_03560	CCNA_03562	CCNA_03598	CCNA_03632/CCNA_03633	CCNA_03634	CCNA_03642	CCNA_03655	CCNA_03656	CCNA_03658	CCNA_03696	CCNA_03702	CCNA_03725	CCNA_03770	CCNA_03770/CCNA_03771	CCNA_03781	CCNA_03819	CCNA_03865	CCNA_03867	CCNA_03876	CCNA_03878	CCNA_R0084
frequency_L2C1_D100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L1C4_D200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L1C2_D100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L2C5_D200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
frequency_L1C4_D300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
frequency_L1C3_D100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
frequency_L2C5_D300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L0C4_D300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L1C1_D300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L1C3_D300	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
