Identifier, Size, 0F1, 0F2, 0F3, 0F4, 0F5
FFJ24_RS00005, 1241.7, , , , , 
FFJ24_RS00010, 476.3, , , , , 
FFJ24_RS00015, 392.7, , , , , 
FFJ24_RS00020, 595.7, , , , , 
FFJ24_RS00025, 431.7, , , , , 
FFJ24_RS00030, 557.3, , , , , 
FFJ24_RS00035, 1294.7, , , , , 
FFJ24_RS00040, 403.7, , , , , 
FFJ24_RS00045, 316.7, , , , , 
FFJ24_RS00050, 874.0, , , , , 
FFJ24_RS00055, 858.7, , , , 600:1:0.037037:0.115385, 
FFJ24_RS00060, 1619.0, , , , , 
FFJ24_RS00065, 179.0, , , , , 
FFJ24_RS00070, 156.0, , , , , 
FFJ24_RS00075, 2978.0, , , , , 
FFJ24_RS00080, 213.0, , , , , 
FFJ24_RS00085, 213.0, , , , , 
FFJ24_RS00090, 1511.7, , , , 800:3:0.153846:0.153846, 
FFJ24_RS00095, 619.0, , , , , 
FFJ24_RS00100, 738.7, , , , , 
FFJ24_RS00105, 1024.0, , , , , 
FFJ24_RS00110, 2122.0, , , , , 
FFJ24_RS00115, 162.3, , , , , 
FFJ24_RS00120, 1363.7, , , , , 
FFJ24_RS00125, 1556.7, , , , , 
FFJ24_RS00130, 529.7, , , , , 
FFJ24_RS00135, 935.0, , , , , 
FFJ24_RS00140, 300.0, , , , , 
FFJ24_RS00145, 885.7, , , , , 
FFJ24_RS00150, 385.7, , , , , 
FFJ24_RS00155, 718.7, , 500:2:0.941176:0.941176, , , 
FFJ24_RS00160, 501.7, , , , , 
FFJ24_RS00165, 581.3, , , , , 
FFJ24_RS00170, 804.0, , , , , 
FFJ24_RS00175, 478.0, , , , , 
FFJ24_RS00185, 3457.7, , , , 500:3:0.714286:0.734375, 
FFJ24_RS00190, 932.0, , , , , 
FFJ24_RS00195, 587.0, , , , , 
FFJ24_RS00200, 756.3, , , , , 
FFJ24_RS00205, 1068.0, , , , , 
FFJ24_RS00210, 374.3, , , , , 
FFJ24_RS00215, 663.7, , , , , 
FFJ24_RS00220, 873.3, , , , , 
FFJ24_RS00225, 1035.7, , , , 800:3:0.1875:0.1875, 
FFJ24_RS00230, 1157.3, , , , , 
FFJ24_RS00235, 739.3, , , , , 
FFJ24_RS00240, 791.7, , , , , 
FFJ24_RS00245, 1301.7, , , , , 
FFJ24_RS00250, 661.7, , , , , 
FFJ24_RS00255, 493.3, , , , , 
FFJ24_RS00260, 299.0, , , , , 
FFJ24_RS00265, 2246.0, , , , , 
FFJ24_RS00270, 1017.0, , , , 500:3:0.631579:0.631579, 
FFJ24_RS00275, 331.0, , , , , 
FFJ24_RS00280, 1152.0, , , , , 
FFJ24_RS00285, 752.0, , , , , 
FFJ24_RS00290, 725.7, , , , , 
FFJ24_RS00295, 981.3, , , , , 
FFJ24_RS00300, 866.7, , , , , 
FFJ24_RS00305, 776.0, , , , 700:3:0.153846:0.153846, 
FFJ24_RS00310, 315.3, , , , , 
FFJ24_RS00315, 303.0, , , , , 
FFJ24_RS00320, 776.3, , , , , 
FFJ24_RS00325, 945.0, , , , , 
FFJ24_RS00330, 392.0, , , , , 
FFJ24_RS00335, 251.7, , , , , 
FFJ24_RS00340, 823.7, , , , , 
FFJ24_RS00345, 564.0, , , , , 
FFJ24_RS00350, 959.3, , , , , 
FFJ24_RS00355, 2710.0, , , , , 
FFJ24_RS00360, 1128.0, , , , , 
FFJ24_RS00365, 615.3, , , , , 
FFJ24_RS00370, 773.3, , , , , 
FFJ24_RS00375, 1780.7, , , , , 
FFJ24_RS00380, 1202.7, , , , , 
FFJ24_RS00385, 2149.3, , , , , 
FFJ24_RS00390, 1785.7, , , , , 
FFJ24_RS00395, 567.3, , , , , 
FFJ24_RS00400, 725.7, , , , , 
FFJ24_RS00405, 488.7, , , , , 
FFJ24_RS00410, 757.3, , , , , 
FFJ24_RS00415, 361.7, 700:2:0.985714:0.989247, , , , 
FFJ24_RS00420, 1066.0, , , , , 
FFJ24_RS00425, 557.3, , , , , 
FFJ24_RS00430, 568.0, , , , , 
FFJ24_RS00435, 494.7, , , , , 
FFJ24_RS00440, 858.7, , , , , 
FFJ24_RS00445, 629.7, , , , , 
FFJ24_RS00450, 94.0, , , , , 
FFJ24_RS00455, 245.3, , , , , 300:1:0.020202:0.16129
FFJ24_RS00460, 210.7, , , , , 
FFJ24_RS00465, 1409.3, , , , , 
FFJ24_RS00470, 1348.0, , , , , 
FFJ24_RS00475, 1662.3, , , , , 
FFJ24_RS00480, 1577.7, , , , , 
FFJ24_RS00485, 750.3, , , , , 
FFJ24_RS00490, 1029.7, , , , , 
FFJ24_RS00495, 2013.7, 300:1:0.0519481:0.576923, 300:3:0.333333:0.444444, , 200:2:0.976744:0.983333, 200:2:0.986667:0.986667;200:1:0:0.494949
FFJ24_RS00500, 1087.0, , , , , 
FFJ24_RS00510, 376.0, , 500:1:0.0164835:0.206612, , , 
FFJ24_RS00515, 688.0, , , , , 
FFJ24_RS00520, 396.7, , , , , 
FFJ24_RS00525, 290.3, , , , , 
FFJ24_RS00530, 871.0, , , , , 
FFJ24_RS00535, 893.0, , , , , 
FFJ24_RS00540, 178.0, , , , , 
FFJ24_RS00545, 407.7, , , , , 
FFJ24_RS00550, 1139.7, 300:2:0.934211:0.954023, , , , 
FFJ24_RS00555, 1051.0, , , , , 
FFJ24_RS00560, 907.3, , , , , 
FFJ24_RS00565, 3558.0, , 300:1:0.0689655:0.272727, , , 500:1:0.0694444:0.173913
FFJ24_RS00570, 781.0, , , , , 
FFJ24_RS00575, 255.0, , , , , 
FFJ24_RS00580, 1909.0, , , , , 
FFJ24_RS00585, 890.3, , , , , 
FFJ24_RS00590, 622.3, , , , , 
FFJ24_RS00595, 481.0, , , , , 
FFJ24_RS00600, 1842.0, , , , , 
FFJ24_RS00605, 873.7, , , , , 
FFJ24_RS00610, 971.7, , , , , 
FFJ24_RS00615, 837.7, , , , , 
FFJ24_RS00620, 1007.0, , 800:3:0.129412:0.129412, , , 
FFJ24_RS00625, 243.3, , , , , 
FFJ24_RS00630, 572.3, , , , , 
FFJ24_RS00635, 2300.0, , , , , 
FFJ24_RS00640, 517.3, , , , , 
FFJ24_RS00645, 1031.3, , , , , 
FFJ24_RS00650, 435.0, , , , , 
FFJ24_RS00655, 764.0, , , , , 
FFJ24_RS00660, 659.7, , , , , 
FFJ24_RS00665, 1928.0, , , , , 
FFJ24_RS00670, 487.3, , , , , 
FFJ24_RS00675, 1086.3, , , , , 
FFJ24_RS00680, 2651.3, , , , , 
FFJ24_RS00685, 1210.0, , , , , 
FFJ24_RS00690, 613.0, , , , , 
FFJ24_RS00695, 943.0, , , , , 
FFJ24_RS00700, 654.3, , , , , 
FFJ24_RS00705, 267.3, , , , , 
FFJ24_RS00710, 849.3, , , , , 
FFJ24_RS00715, 599.7, , , , 600:1:0.0512821:0.214286, 
FFJ24_RS00720, 432.3, , , , , 
FFJ24_RS00725, 510.0, , , , , 
FFJ24_RS00730, 370.3, , , , , 
FFJ24_RS00735, 770.0, , , , , 
FFJ24_RS00740, 671.3, , , , , 
FFJ24_RS00745, 598.3, , , , , 
FFJ24_RS00750, 586.3, , , , , 
FFJ24_RS00755, 550.7, , , , , 
FFJ24_RS00760, 509.3, , , , , 
FFJ24_RS00765, 234.0, , , , , 
FFJ24_RS00770, 178.0, , , , , 
FFJ24_RS00775, 723.7, , , , , 
FFJ24_RS00780, 568.7, , , , , 
FFJ24_RS00785, 2028.0, , , , , 
FFJ24_RS00790, 323.0, , , , , 
FFJ24_RS00795, 515.0, , , , , 
FFJ24_RS00800, 611.0, , , , , 
FFJ24_RS00805, 966.7, , , , , 
FFJ24_RS00810, 1586.0, , , , , 
FFJ24_RS00815, 2501.7, , , , , 
FFJ24_RS00820, 3280.7, , , , , 
FFJ24_RS00825, 948.3, , , , , 
FFJ24_RS00830, 1633.7, , , , , 
FFJ24_RS00835, 1562.7, , , , , 
FFJ24_RS00840, 1477.0, , , , , 
FFJ24_RS00845, 299.7, , , , , 
FFJ24_RS00850, 1496.3, , , , , 
FFJ24_RS00855, 1944.7, , , , , 
FFJ24_RS00860, 1283.0, , , , , 
FFJ24_RS00865, 2588.0, , , , , 
FFJ24_RS00870, 976.7, , , , , 
FFJ24_RS00875, 561.3, , , , , 
FFJ24_RS00880, 2512.0, , , , , 
FFJ24_RS00885, 2877.0, , 400:1:0.0248447:0.385965, , 500:3:0.869565:0.869565, 
FFJ24_RS00890, 272.3, , , , , 
FFJ24_RS00895, 759.3, , , , , 
FFJ24_RS00900, 532.3, , , , , 
FFJ24_RS00905, 1174.3, , , , , 
FFJ24_RS00910, 2580.7, , 600:3:0.92:0.92, , , 
