Identifier, Size, 2P1, 2P2, 2P3, 2P4, 2P5
FFI16_RS00005, 1136.3, , , , , 
FFI16_RS00010, 480.0, , 400:1:0.0666667:0.176471;500:1:0.037037:0.121212;400:3:0.1:0.159091;400:1:0.0666667:0.193548;400:1:0.03125:0.16129;400:1:0.0967742:0.133333, , , 
FFI16_RS00015, 821.3, , 400:1:0.0434783:0.176471;300:3:0.136364:0.217949, 700:3:0.111111:0.153846;300:1:0.0487805:0.176471;300:3:0.2:0.2;300:1:0.0222222:0.166667, , 
FFI16_RS00020, 874.0, , , , , 
FFI16_RS00025, 552.7, , , , , 
FFI16_RS00030, 277.0, , , , , 
FFI16_RS00035, 520.7, , , 500:1:0.1:0.15493, , 
FFI16_RS00040, 470.0, , , , , 
FFI16_RS00045, 201.7, , , , , 
FFI16_RS00050, 151.3, , , 500:1:0.0757576:0.176471, , 
FFI16_RS00055, 505.3, , 700:1:0.030303:0.129032, , , 
FFI16_RS00060, 35.7, , , , , 
FFI16_RS00070, 428.7, , , , , 
FFI16_RS00075, 138.3, , , , , 
FFI16_RS00080, 664.7, , 500:3:0.147059:0.166667;700:1:0.0714286:0.173913;700:3:0.225806:0.307692;700:3:0.179487:0.179487, 300:3:0.103448:0.16129;700:3:0.105263:0.230769;800:3:0.107143:0.166667;300:1:0.0285714:0.181818, , 
FFI16_RS00085, 191.0, , , , , 
FFI16_RS00090, 1017.3, , 500:1:0:0.142857, , , 
FFI16_RS00110, 1040.3, , , , , 
FFI16_RS00115, 739.7, , , , , 
FFI16_RS00120, 358.0, , , , , 
FFI16_RS00130, 605.3, , 500:1:0.0769231:0.166667;800:3:0.133333:0.133333;800:3:0.172414:0.172414, , , 
FFI16_RS00145, 595.0, , , , , 
FFI16_RS00150, 385.3, , , , , 
FFI16_RS00155, 671.3, , , , , 
FFI16_RS00165, 374.0, , , 800:3:0.146341:0.146341;300:1:0.047619:0.130435, , 
FFI16_RS00170, 111.0, , , , , 
FFI16_RS00175, 1242.7, , , , , 
FFI16_RS00185, 574.3, , , , , 
FFI16_RS00195, 887.0, , , , , 
FFI16_RS00200, 641.7, , , , , 
FFI16_RS00210, 736.7, , , , , 
FFI16_RS00215, 1003.3, , , , , 
FFI16_RS00220, 289.0, , , , , 
FFI16_RS00225, 220.7, , , , , 
FFI16_RS00245, 195.7, , , , , 
FFI16_RS00260, 944.3, , , , , 
