Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
CCNA_01156, YP_002516529.1, , 669.7, 66, 1.16, 72.18, 204.9
CCNA_R0002, , , 172.0, 61, 0.30, 259.74, 266.918
CCNA_00236, YP_002515611.1, , 1364.7, 57, 2.36, 30.59, 129.7
CCNA_00799, YP_002516172.1, cydD, 1267.3, 56, 2.19, 32.36, 130.497
CCNA_00475, YP_002515848.1, trwB, 1307.7, 54, 2.26, 30.24, 122.409
CCNA_01163, YP_002516536.1, , 5457.0, 54, 9.45, 7.25, 52.3017
CCNA_02245, YP_002517618.1, , 397.0, 49, 0.69, 90.39, 163.604
CCNA_R0158, , , 49.0, 49, 0.08, 732.37, 265.528
CCNA_02722, YP_002518095.1, , 789.0, 48, 1.37, 44.56, 127.034
CCNA_02377, YP_002517750.2, , 646.3, 47, 1.12, 53.26, 132.609
CCNA_01019, YP_002516392.1, , 1711.3, 42, 2.96, 17.97, 75.0402
CCNA_02603, YP_002517976.1, , 1023.3, 41, 1.77, 29.34, 92.3088
CCNA_02633, YP_002518006.1, , 1823.7, 36, 3.16, 14.46, 57.3925
CCNA_01190, YP_002516563.1, , 1237.3, 35, 2.14, 20.72, 67.549
CCNA_02336, YP_002517709.1, , 713.7, 35, 1.24, 35.92, 85.9266
CCNA_00694, YP_002516067.1, , 1976.3, 32, 3.42, 11.86, 45.503
CCNA_02837, YP_002518210.1, , 435.3, 32, 0.75, 53.84, 91.3349
CCNA_03162, YP_002518535.3, argJ, 1088.7, 32, 1.89, 21.53, 63.0962
CCNA_00711, YP_002516084.1, , 862.3, 31, 1.49, 26.33, 67.1107
CCNA_02130, YP_002517503.1, , 1071.0, 30, 1.85, 20.51, 57.9227
CCNA_03177, YP_002518550.1, , 1592.7, 30, 2.76, 13.79, 46.8896
CCNA_03207, YP_002518580.1, , 741.0, 29, 1.28, 28.66, 65.2677
CCNA_03317, YP_002518689.1, dnaE2, 2540.0, 27, 4.40, 7.79, 28.794
CCNA_03032, YP_002518405.1, , 1108.3, 26, 1.92, 17.18, 46.1592
CCNA_00866, YP_002516239.1, xylX, 963.7, 25, 1.67, 19.00, 46.805
CCNA_02779, YP_002518152.2, , 1132.7, 25, 1.96, 16.16, 43.0461
CCNA_03938, YP_009020510.1, , 338.7, 25, 0.59, 54.06, 71.9077
CCNA_02869, YP_002518242.1, , 298.0, 24, 0.52, 58.98, 71.1592
CCNA_00785, YP_002516158.2, , 1372.0, 23, 2.38, 12.28, 33.9769
CCNA_00262, YP_002515637.1, , 738.7, 22, 1.28, 21.81, 44.2777
CCNA_00817, YP_002516190.1, , 1092.3, 22, 1.89, 14.75, 36.2563
CCNA_01048, YP_002516421.1, , 293.7, 22, 0.51, 54.86, 63.8332
CCNA_01793, YP_002517166.1, , 820.0, 22, 1.42, 19.65, 42.1149
CCNA_02181, YP_002517554.1, , 506.0, 22, 0.88, 31.84, 52.2169
CCNA_02531, YP_002517904.2, , 662.0, 22, 1.15, 24.34, 46.5627
CCNA_00364, YP_002515739.1, , 951.0, 20, 1.65, 15.40, 33.9254
CCNA_03335, YP_002518707.1, , 873.0, 20, 1.51, 16.78, 35.5088
CCNA_03613, YP_002518986.1, , 433.0, 20, 0.75, 33.83, 48.809
CCNA_03631, YP_002519004.1, , 49.7, 20, 0.09, 294.72, 91.4721
CCNA_00613, YP_002515986.3, , 964.0, 19, 1.67, 14.43, 31.1875
CCNA_01487, YP_002516860.1, , 633.7, 19, 1.10, 21.96, 38.6169
CCNA_03167, YP_002518540.1, , 745.0, 19, 1.29, 18.68, 35.7251
CCNA_03336, YP_002518708.1, ybgF, 701.0, 19, 1.21, 19.85, 36.8096
