Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
B4U62_RS19435, WP_010886627.1, , 526.0, 88, 0.29, 120.12, 419.744
B4U62_RS19425, WP_003242882.1, , 1004.7, 82, 0.55, 58.60, 332.725
B4U62_RS02515, WP_003246542.1, , 406.7, 75, 0.22, 132.41, 365.404
B4U62_RS01025, WP_003234986.1, , 1199.0, 41, 0.65, 24.55, 132.277
B4U62_RS09375, WP_003245436.1, , 358.7, 31, 0.19, 62.05, 129.003
B4U62_RS19670, WP_003227757.1, , 1026.0, 30, 0.56, 20.99, 92.7549
B4U62_RS14040, WP_003246092.1, , 3689.3, 29, 2.00, 5.64, 53.0501
B4U62_RS03535, WP_003234045.1, , 2055.0, 28, 1.12, 9.78, 65.9044
B4U62_RS12450, WP_003230542.1, , 612.7, 25, 0.33, 29.30, 85.8435
B4U62_RS13500, WP_004398935.1, pstC, 766.0, 24, 0.42, 22.50, 76.2438
B4U62_RS02075, WP_003246558.1, , 585.7, 22, 0.32, 26.97, 73.9845
B4U62_RS20445, WP_003242519.1, , 722.3, 22, 0.39, 21.87, 69.4434
B4U62_RS19890, WP_003227667.1, , 427.3, 21, 0.23, 35.29, 76.2866
B4U62_RS01315, WP_003246382.1, , 782.0, 20, 0.42, 18.36, 59.8763
B4U62_RS16990, WP_009968069.1, , 898.7, 20, 0.49, 15.98, 57.1547
B4U62_RS08200, WP_003232245.1, , 1464.7, 19, 0.80, 9.31, 44.4508
B4U62_RS18220, WP_003243347.1, , 528.0, 15, 0.29, 20.40, 46.9116
B4U62_RS22025, WP_003244290.1, , 1618.7, 15, 0.88, 6.65, 30.6613
B4U62_RS22425, WP_020846146.1, , 1377.0, 13, 0.75, 6.78, 27.0283
B4U62_RS16140, WP_003229234.1, , 974.3, 12, 0.53, 8.84, 28.1183
B4U62_RS00860, WP_003235095.1, , 298.0, 11, 0.16, 26.50, 37.688
B4U62_RS13670, WP_004398824.1, , 290.0, 11, 0.16, 27.24, 37.9834
B4U62_RS02485, WP_119122842.1, , 181.3, 9, 0.10, 35.64, 33.7571
B4U62_RS04070, WP_003233803.1, , 383.7, 9, 0.21, 16.84, 27.1085
B4U62_RS04815, WP_003233541.1, , 275.0, 9, 0.15, 23.50, 30.0533
B4U62_RS12455, WP_004399008.1, ypdA, 865.7, 9, 0.47, 7.46, 20.0202
B4U62_RS13605, WP_003230068.1, , 384.7, 9, 0.21, 16.80, 27.0856
B4U62_RS06330, WP_003232957.1, , 1401.3, 8, 0.76, 4.10, 13.466
B4U62_RS09170, WP_003245732.1, , 669.0, 8, 0.36, 8.59, 19.0299
B4U62_RS18195, WP_003228375.1, , 1436.0, 8, 0.78, 4.00, 13.2869
B4U62_RS20770, WP_003243034.1, , 1604.3, 8, 0.87, 3.58, 12.4807
B4U62_RS01230, WP_003234898.1, skfF, 1104.7, 7, 0.60, 4.55, 12.6271
B4U62_RS03305, WP_003242997.1, , 589.0, 7, 0.32, 8.53, 16.7861
B4U62_RS17475, WP_003242525.1, , 1097.7, 7, 0.60, 4.58, 12.6683
B4U62_RS17990, WP_010886613.1, , 955.0, 7, 0.52, 5.26, 13.5759
B4U62_RS20475, WP_003227428.1, , 1132.7, 7, 0.61, 4.44, 12.4651
B4U62_RS02290, WP_010886406.1, , 1201.0, 6, 0.65, 3.59, 9.70135
B4U62_RS05070, WP_003244751.1, , 543.0, 6, 0.29, 7.93, 14.1607
B4U62_RS09525, WP_003245299.1, , 628.3, 6, 0.34, 6.86, 13.3247
B4U62_RS10040, WP_004399246.1, , 747.3, 6, 0.41, 5.76, 12.339
B4U62_RS11410, WP_004399486.1, , 510.3, 6, 0.28, 8.44, 14.5182
B4U62_RS16770, WP_003228960.1, , 1210.0, 6, 0.66, 3.56, 9.66069
B4U62_RS17295, WP_003228740.1, , 766.7, 6, 0.42, 5.62, 12.1942
B4U62_RS20725, WP_003227327.1, dltB, 933.3, 6, 0.51, 4.62, 11.0912
B4U62_RS00030, WP_003226808.1, , 1118.3, 5, 0.61, 3.21, 7.78519
B4U62_RS01280, WP_003246273.1, , 1168.0, 5, 0.63, 3.07, 7.58991
B4U62_RS04045, WP_009968837.1, , 803.7, 5, 0.44, 4.47, 9.29641
B4U62_RS04255, WP_003243996.1, , 848.0, 5, 0.46, 4.23, 9.04796
B4U62_RS04630, WP_010886447.1, , 935.0, 5, 0.51, 3.84, 8.59851
B4U62_RS09085, WP_009967251.1, rbfA, 289.3, 5, 0.16, 12.41, 14.1742
B4U62_RS16075, WP_003229261.1, , 939.0, 5, 0.51, 3.82, 8.57896
B4U62_RS16450, WP_003229085.1, , 413.3, 5, 0.22, 8.69, 12.4465
B4U62_RS20540, WP_010886637.1, qoxA, 857.0, 5, 0.47, 4.19, 8.9992
B4U62_RS02760, , , 167.0, 4, 0.09, 17.20, 12.8532
B4U62_RS03605, WP_003234008.1, , 253.0, 4, 0.14, 11.35, 11.2288
B4U62_RS13310, WP_004398632.1, , 687.0, 4, 0.37, 4.18, 7.4199
B4U62_RS02595, WP_003234326.1, , 363.0, 3, 0.20, 5.93, 6.81165
B4U62_RS10700, WP_003231174.1, , 201.3, 3, 0.11, 10.70, 8.51515
