Position, Gene, Allele, Annotation, Test statistic, P-value, Deletion index, Fold reduction, Deletion P-value, Duplication index, Fold increase, Duplication pvalue, Passed?, AC:100, DP:100, AC:200, DP:200, AC:300, DP:300, AC:400, DP:400, AC:600, DP:600, AC:700, DP:700
2743, FFI16_RS30400, A->T, unknown, -0.701590045188, 0.3841, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 77.0, 0.0, 26.0, 2.0, 91.0, 9.0, 57.0, 1.0, 82.0, 6.0, 96.0
2750, FFI16_RS30400, C->A, unknown, -1.06996742967, 0.3926, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 76.0, 0.0, 29.0, 1.0, 95.0, 13.0, 56.0, 2.0, 83.0, 5.0, 96.0
3685, FFI16_RS00010, C->A, synonymous, 1.04451009357, 0.117, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 65.0, 0.0, 23.0, 0.0, 99.0, 0.0, 71.0, 6.0, 60.0, 7.0, 41.0
3697, FFI16_RS00010, G->T, synonymous, 1.08432919092, 0.1279, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 66.0, 0.0, 23.0, 0.0, 97.0, 0.0, 67.0, 14.0, 56.0, 13.0, 42.0
4933, FFI16_RS00015, T->G, synonymous, 0.894696728491, 0.0809, 7, 1, 1, 1, 1, 1, PASS, 2.0, 139.0, 0.0, 45.0, 0.0, 134.0, 6.0, 63.0, 16.0, 66.0, 8.0, 77.0
4948, FFI16_RS00015, G->C, missense, 0.560809513428, 0.1378, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 134.0, 0.0, 46.0, 1.0, 125.0, 4.0, 62.0, 10.0, 64.0, 4.0, 79.0
4949, FFI16_RS00015, A->C, synonymous, 0.783286533543, 0.0874, 7, 1, 1, 1, 1, 1, PASS, 2.0, 134.0, 0.0, 47.0, 2.0, 124.0, 6.0, 63.0, 13.0, 65.0, 10.0, 79.0
4954, FFI16_RS00015, A->C, missense, 0.0286660575952, 0.3504, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 128.0, 0.0, 47.0, 1.0, 118.0, 2.0, 59.0, 11.0, 64.0, 4.0, 74.0
4954, FFI16_RS00015, A->T, missense, 0.436352053829, 0.1652, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 128.0, 0.0, 47.0, 2.0, 118.0, 6.0, 59.0, 14.0, 64.0, 3.0, 74.0
4962, FFI16_RS00015, A->C, missense, 0.259403276803, 0.2637, 7, 1, 1, 1, 1, 1, FAIL, 4.0, 116.0, 0.0, 43.0, 4.0, 114.0, 10.0, 56.0, 7.0, 61.0, 9.0, 66.0
5270, FFI16_RS00015, G->T, missense, -0.351166553821, 0.388, 7, 1, 1, 1, 1, 1, FAIL, 5.0, 146.0, 0.0, 57.0, 2.0, 131.0, 12.0, 71.0, 2.0, 64.0, 7.0, 91.0
6664, FFI16_RS00020, G->T, synonymous, 0.892634134357, 0.1242, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 132.0, 0.0, 53.0, 1.0, 110.0, 2.0, 47.0, 3.0, 52.0, 4.0, 31.0
8866, FFI16_RS29875, A->C, synonymous, -0.0480115588333, 0.3642, 7, 1, 1, 1, 1, 1, FAIL, 4.0, 106.0, 1.0, 61.0, 1.0, 120.0, 9.0, 50.0, 2.0, 17.0, 0.0, 10.0
11076, FFI16_RS00035, C->A, synonymous, 0.251405564108, 0.316, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 182.0, 0.0, 58.0, 2.0, 156.0, 14.0, 76.0, 9.0, 105.0, 10.0, 106.0
11093, FFI16_RS00035, G->T, synonymous, 0.378744254754, 0.2879, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 169.0, 0.0, 59.0, 1.0, 159.0, 12.0, 72.0, 9.0, 101.0, 11.0, 103.0
11097, FFI16_RS00035, G->T, missense, 0.520527106022, 0.1885, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 172.0, 0.0, 58.0, 3.0, 160.0, 16.0, 71.0, 14.0, 101.0, 5.0, 104.0
11106, FFI16_RS00035, T->C, missense, 0.429591218065, 0.2022, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 171.0, 0.0, 55.0, 3.0, 164.0, 10.0, 69.0, 8.0, 99.0, 6.0, 109.0
12178, FFI16_RS29895, G->C, missense, -0.355688364849, 0.3876, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 77.0, 0.0, 47.0, 1.0, 87.0, 5.0, 35.0, 2.0, 90.0, 7.0, 124.0
12185, FFI16_RS29895, A->C, missense, 0.382695354909, 0.1746, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 81.0, 0.0, 46.0, 2.0, 89.0, 6.0, 35.0, 4.0, 93.0, 9.0, 126.0
12191, FFI16_RS29895, G->T, synonymous, -0.350940585735, 0.4015, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 77.0, 0.0, 42.0, 1.0, 82.0, 5.0, 34.0, 3.0, 90.0, 3.0, 122.0
12198, FFI16_RS29895, T->A, missense, 0.342235927268, 0.1924, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 74.0, 0.0, 45.0, 1.0, 83.0, 5.0, 34.0, 3.0, 91.0, 6.0, 125.0
12200, FFI16_RS29895, C->A, missense, 0.343156186086, 0.3075, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 74.0, 0.0, 45.0, 1.0, 84.0, 5.0, 33.0, 7.0, 90.0, 10.0, 126.0
12223, FFI16_RS29895, T->G, missense, 0.492941629111, 0.1634, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 70.0, 0.0, 46.0, 2.0, 85.0, 7.0, 31.0, 6.0, 87.0, 18.0, 119.0
12754, FFI16_RS00050, C->A, synonymous, -2.00394354888, 0.4449, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 50.0, 0.0, 18.0, 2.0, 55.0, 4.0, 27.0, 0.0, 36.0, 3.0, 51.0
