Locus tag, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
B4U62_RS08200, , 1464.7, 18, 0.82, 8.91, 40.7105
B4U62_RS12455, ypdA, 882.0, 16, 0.49, 13.15, 42.3971
B4U62_RS14040, , 3742.3, 16, 2.10, 3.10, 20.776
B4U62_RS17855, , 821.7, 15, 0.46, 13.23, 39.9495
B4U62_RS19175, , 619.7, 15, 0.35, 17.55, 44.0755
B4U62_RS09170, , 669.0, 14, 0.38, 15.17, 39.2634
B4U62_RS18490, , 805.7, 14, 0.45, 12.60, 36.7318
B4U62_RS21125, , 1390.7, 14, 0.78, 7.30, 29.3954
B4U62_RS13500, pstC, 811.3, 13, 0.46, 11.62, 33.2092
B4U62_RS19005, , 802.7, 13, 0.45, 11.74, 33.3433
B4U62_RS02595, , 360.7, 12, 0.20, 24.12, 39.3486
B4U62_RS04630, , 935.0, 12, 0.52, 9.30, 28.2153
B4U62_RS00030, , 1118.3, 10, 0.63, 6.48, 20.337
B4U62_RS07475, , 1864.3, 10, 1.05, 3.89, 15.6041
B4U62_RS10135, , 661.0, 10, 0.37, 10.97, 25.3629
B4U62_RS16270, , 1044.3, 10, 0.59, 6.94, 20.9841
B4U62_RS02155, , 555.3, 9, 0.31, 11.75, 23.5796
B4U62_RS16015, motP, 708.3, 9, 0.40, 9.21, 21.4664
B4U62_RS19780, , 818.0, 9, 0.46, 7.98, 20.2256
B4U62_RS22125, , 642.0, 9, 0.36, 10.16, 22.3176
B4U62_RS02760, , 167.0, 8, 0.09, 34.72, 29.6314
B4U62_RS02855, , 775.3, 8, 0.43, 7.48, 17.6517
B4U62_RS07030, , 3108.3, 8, 1.74, 1.87, 7.69092
B4U62_RS12325, , 1000.3, 8, 0.56, 5.80, 15.7248
B4U62_RS13605, , 391.7, 8, 0.22, 14.80, 22.9232
B4U62_RS20695, , 1155.0, 8, 0.65, 5.02, 14.651
B4U62_RS02075, , 617.3, 7, 0.35, 8.22, 16.2515
B4U62_RS02480, , 1408.0, 7, 0.79, 3.60, 10.8644
B4U62_RS05480, , 949.3, 7, 0.53, 5.35, 13.4008
B4U62_RS06665, , 488.0, 7, 0.27, 10.40, 17.8336
B4U62_RS07070, , 1631.7, 7, 0.92, 3.11, 9.94061
B4U62_RS18185, , 351.3, 7, 0.20, 14.44, 20.0674
B4U62_RS00655, nusG, 520.3, 6, 0.29, 8.36, 14.218
B4U62_RS02485, , 190.0, 6, 0.11, 22.89, 20.104
B4U62_RS05565, , 820.7, 6, 0.46, 5.30, 11.6269
B4U62_RS05580, , 249.7, 6, 0.14, 17.42, 18.4932
B4U62_RS08005, , 1329.7, 6, 0.75, 3.27, 8.97351
B4U62_RS08145, , 249.0, 6, 0.14, 17.47, 18.5097
B4U62_RS08700, plsX, 779.3, 6, 0.44, 5.58, 11.9177
B4U62_RS09995, , 528.7, 6, 0.30, 8.23, 14.1259
B4U62_RS11625, , 2075.0, 6, 1.16, 2.10, 6.65519
B4U62_RS12375, , 604.0, 6, 0.34, 7.20, 13.363
B4U62_RS14270, , 545.3, 6, 0.31, 7.98, 13.9483
B4U62_RS16770, , 1249.3, 6, 0.70, 3.48, 9.30961
B4U62_RS18220, , 528.0, 6, 0.30, 8.24, 14.1335
B4U62_RS22425, , 1377.0, 6, 0.77, 3.16, 8.7862
B4U62_RS01315, , 803.3, 5, 0.45, 4.51, 9.14698
B4U62_RS06155, , 1360.3, 5, 0.76, 2.66, 6.76971
B4U62_RS10485, , 624.0, 5, 0.35, 5.81, 10.3269
B4U62_RS11255, , 338.0, 5, 0.19, 10.72, 13.2596
B4U62_RS11925, , 265.3, 5, 0.15, 13.66, 14.4367
B4U62_RS15020, , 566.0, 5, 0.32, 6.40, 10.7878
B4U62_RS16140, , 974.3, 5, 0.55, 3.72, 8.26096
B4U62_RS18290, , 1535.0, 5, 0.86, 2.36, 6.24555
B4U62_RS20845, , 812.7, 5, 0.46, 4.46, 9.09315
B4U62_RS02095, , 785.3, 4, 0.44, 3.69, 6.80729
B4U62_RS04530, , 931.7, 4, 0.52, 3.11, 6.18811
B4U62_RS06700, cyoE, 899.3, 4, 0.50, 3.22, 6.3154
B4U62_RS07435, , 927.0, 4, 0.52, 3.13, 6.20626
B4U62_RS14225, , 531.7, 4, 0.30, 5.45, 8.25488
B4U62_RS18130, , 290.0, 4, 0.16, 10.00, 10.5721
B4U62_RS20015, , 520.3, 4, 0.29, 5.57, 8.33652
B4U62_RS20800, , 697.3, 4, 0.39, 4.16, 7.24377
B4U62_RS00860, , 298.0, 3, 0.17, 7.30, 7.28314
B4U62_RS15330, , 415.0, 3, 0.23, 5.24, 6.3383
B4U62_RS16525, , 180.7, 3, 0.10, 12.03, 8.73489
B4U62_RS19790, , 229.3, 3, 0.13, 9.48, 8.04064
B4U62_RS21045, , 384.3, 3, 0.22, 5.66, 6.5561
