Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
CCNA_03722, YP_002519095.1, gltB, 3502.3, 11, 6.12, 2.30, 3.03905
CCNA_02454, YP_002517827.2, , 2731.3, 10, 4.77, 2.68, 3.71446
CCNA_00486, YP_002515859.1, , 1853.0, 8, 3.24, 3.16, 4.02047
CCNA_00567, YP_002515940.1, , 1756.3, 8, 3.07, 3.34, 4.30565
CCNA_00831, YP_002516204.1, , 2183.7, 8, 3.82, 2.68, 3.19439
CCNA_01695, YP_002517068.1, , 2277.3, 8, 3.98, 2.57, 2.99564
CCNA_02106, YP_002517479.1, , 2158.7, 8, 3.77, 2.71, 3.24984
CCNA_00041, YP_002515416.2, , 2342.0, 7, 4.09, 2.19, 2.11447
CCNA_00078, YP_002515453.1, , 1453.7, 7, 2.54, 3.53, 4.17554
CCNA_00785, YP_002516158.2, , 1372.0, 7, 2.40, 3.74, 4.46066
CCNA_00798, YP_002516171.1, cydC, 1229.0, 7, 2.15, 4.17, 5.02065
CCNA_01170, YP_002516543.1, , 2087.7, 7, 3.65, 2.46, 2.55842
CCNA_01663, YP_002517036.1, , 1358.7, 7, 2.38, 3.77, 4.50931
CCNA_01777, YP_002517150.2, , 1340.0, 7, 2.34, 3.83, 4.57885
CCNA_01834, YP_002517207.1, , 1790.7, 7, 3.13, 2.86, 3.20621
CCNA_02753, YP_002518126.1, , 1937.7, 7, 3.39, 2.65, 2.86567
CCNA_02891, YP_002518264.3, , 1419.7, 7, 2.48, 3.61, 4.2914
CCNA_03298, YP_002518670.3, , 2630.0, 7, 4.60, 1.95, 1.70576
CCNA_03507, YP_002518880.1, pdeA, 1248.7, 7, 2.18, 4.11, 4.93839
CCNA_03652, YP_002519025.1, , 2647.0, 7, 4.63, 1.94, 1.68428
CCNA_00043, YP_002515418.1, nusA, 1260.0, 6, 2.20, 3.49, 3.68757
CCNA_00683, YP_002516056.1, , 1180.7, 6, 2.06, 3.72, 3.96416
CCNA_00695, YP_002516068.1, , 1289.0, 6, 2.25, 3.41, 3.59242
CCNA_00749, YP_002516122.1, , 1402.3, 6, 2.45, 3.13, 3.24808
CCNA_00970, YP_002516343.1, , 2355.0, 6, 4.12, 1.87, 1.45513
CCNA_01017, YP_002516390.1, , 1303.0, 6, 2.28, 3.37, 3.54757
CCNA_01425, YP_002516798.1, , 1671.7, 6, 2.92, 2.63, 2.57328
CCNA_01920, YP_002517293.1, mfd, 2599.0, 6, 4.54, 1.69, 1.18916
CCNA_01961, YP_002517334.1, , 1022.7, 6, 1.79, 4.30, 4.5989
CCNA_02553, YP_002517926.1, clpA, 1779.7, 6, 3.11, 2.47, 2.34836
CCNA_02612, YP_002517985.1, , 2083.0, 6, 3.64, 2.11, 1.8226
CCNA_02872, YP_002518245.1, , 1009.0, 6, 1.76, 4.36, 4.66004
CCNA_02921, YP_002518294.1, , 1216.7, 6, 2.13, 3.61, 3.8355
CCNA_03023, YP_002518396.1, , 1630.7, 6, 2.85, 2.69, 2.66484
CCNA_03326, YP_002518698.1, , 1466.0, 6, 2.56, 3.00, 3.07175
CCNA_00073, YP_002515448.1, , 1119.0, 5, 1.96, 3.27, 3.02045
CCNA_00200, YP_002515575.3, , 807.3, 5, 1.41, 4.54, 4.21984
CCNA_00215, YP_002515590.1, , 701.0, 5, 1.23, 5.22, 4.77636
CCNA_00217, YP_002515592.3, , 1578.0, 5, 2.76, 2.32, 1.92474
CCNA_00316, YP_002515691.1, , 827.7, 5, 1.45, 4.42, 4.12364
CCNA_00363, YP_002515738.1, , 651.0, 5, 1.14, 5.62, 5.07577
CCNA_00515, YP_002515888.1, , 1819.0, 5, 3.18, 2.01, 1.53344
CCNA_00580, YP_002515953.1, , 2237.3, 5, 3.91, 1.64, 1.03909
CCNA_00694, YP_002516067.1, , 1976.3, 5, 3.45, 1.85, 1.32412
CCNA_00753, YP_002516126.2, , 856.3, 5, 1.50, 4.28, 3.9938
CCNA_00850, YP_002516223.1, acrB2, 2370.0, 5, 4.14, 1.55, 0.918626
CCNA_00935, YP_002516308.1, , 825.0, 5, 1.44, 4.44, 4.1362
CCNA_00947, YP_002516320.1, flgE, 1427.3, 5, 2.50, 2.57, 2.22415
CCNA_01015, YP_002516388.3, , 1272.7, 5, 2.22, 2.88, 2.58756
CCNA_01242, YP_002516615.2, , 1280.3, 5, 2.24, 2.86, 2.56815
CCNA_01262, YP_002516635.1, acrB3, 2304.0, 5, 4.03, 1.59, 0.976704
CCNA_01622, YP_002516995.1, spoT, 1770.7, 5, 3.10, 2.07, 1.60445
CCNA_01866, YP_002517239.1, acrB4, 2309.3, 5, 4.04, 1.59, 0.97191
CCNA_01899, YP_002517272.1, , 738.0, 5, 1.29, 4.96, 4.57128
CCNA_02213, YP_002517586.1, , 923.7, 5, 1.61, 3.96, 3.70901
CCNA_02222, YP_002517595.1, , 823.3, 5, 1.44, 4.45, 4.14413
CCNA_02277, YP_002517650.1, , 1699.0, 5, 2.97, 2.16, 1.71636
CCNA_02339, YP_002517712.1, , 720.3, 5, 1.26, 5.08, 4.66775
CCNA_02490, YP_002517863.1, , 878.0, 5, 1.53, 4.17, 3.89899
CCNA_02713, YP_002518086.3, hfaD, 864.0, 5, 1.51, 4.24, 3.95981
CCNA_02861, YP_002518234.1, , 1839.3, 5, 3.22, 1.99, 1.5046
CCNA_02896, YP_002518269.1, , 1235.3, 5, 2.16, 2.96, 2.68562
CCNA_02996, YP_002518369.1, , 955.3, 5, 1.67, 3.83, 3.58479
CCNA_03062, YP_002518435.1, , 893.0, 5, 1.56, 4.10, 3.83523
CCNA_03183, YP_002518556.2, , 1301.0, 5, 2.27, 2.81, 2.51616
CCNA_03359, YP_002518731.1, , 979.3, 5, 1.71, 3.74, 3.49407
CCNA_03407, YP_002518780.1, , 1043.7, 5, 1.82, 3.51, 3.26486
CCNA_03478, YP_002518851.2, ftrA, 694.3, 5, 1.21, 5.27, 4.81493
CCNA_03619, YP_002518992.1, , 1718.0, 5, 3.00, 2.13, 1.68592
CCNA_03685, YP_002519058.1, pbpZ, 1597.0, 5, 2.79, 2.29, 1.89027
