LocusTag	protein_id	Gene	Type	Size	GC	Sequence	Fold_1	Fold_2	Fold_2_S	Fold_2_V	Fold_3	Fold_4	N	S	Spore_associated
B4U62_00005	AQZ88914.1	nan	CDS	1341	0.4012	Genome	865	263	249	14	40	173	1053.67	287.33	False
B4U62_00010	AQZ88915.1	nan	CDS	1137	0.3993	Genome	727	209	201	8	39	162	879.33	257.67	False
B4U62_00015	AQZ88916.1	nan	CDS	216	0.4352	Genome	141	40	38	2	5	30	169.33	46.67	False
B4U62_00020	AQZ88917.1	nan	CDS	1113	0.4555	Genome	714	215	203	12	22	162	864.67	248.33	False
B4U62_00025	AQZ88918.1	nan	CDS	246	0.3699	Genome	160	45	44	1	7	34	192.33	53.67	False
B4U62_00030	AQZ88919.1	nan	CDS	1917	0.4502	Genome	1249	342	328	14	45	281	1492.0	425.0	False
B4U62_00035	AQZ88920.1	nan	CDS	2466	0.444	Genome	1594	422	392	30	76	374	1900.67	565.33	False
B4U62_00040	nan	nan	rRNA	1556	0.5501	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00045	nan	nan	tRNA	77	0.6234	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00050	nan	nan	tRNA	76	0.6579	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00055	nan	nan	rRNA	2933	0.5384	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00060	nan	rrf	rRNA	116	0.5862	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00065	AQZ88921.1	nan	CDS	948	0.346	Genome	607	215	206	9	21	105	757.33	190.67	False
B4U62_00070	AQZ88922.1	nan	CDS	1467	0.4349	Genome	965	223	216	7	40	239	1127.0	340.0	False
B4U62_00075	AQZ88923.1	nan	CDS	1332	0.4054	Genome	879	235	232	3	23	195	1043.33	288.67	False
B4U62_00080	AQZ88924.1	nan	CDS	885	0.4599	Genome	599	111	111	0	17	158	678.67	206.33	False
B4U62_00085	AQZ88925.1	nan	CDS	591	0.4636	Genome	379	105	102	3	12	95	453.0	138.0	False
B4U62_00090	AQZ88926.1	nan	CDS	1278	0.4444	Genome	831	241	228	13	23	183	999.33	278.67	False
B4U62_00095	nan	nan	tRNA	93	0.6022	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00100	AQZ88927.1	nan	CDS	654	0.3761	Genome	407	162	150	12	7	78	517.33	136.67	False
B4U62_00105	AQZ88928.1	nan	CDS	624	0.4054	Genome	394	144	137	7	9	77	493.0	131.0	False
B4U62_00110	AQZ88929.1	nan	CDS	1284	0.4595	Genome	770	295	259	36	17	202	972.33	311.67	False
B4U62_00115	AQZ88930.1	nan	CDS	546	0.3773	Genome	332	133	126	7	10	71	424.0	122.0	False
B4U62_00120	AQZ88931.1	nan	CDS	486	0.4547	Genome	319	83	76	7	7	77	376.67	109.33	False
B4U62_00130	AQZ88932.1	nan	CDS	1692	0.4356	Genome	1091	323	308	15	43	235	1320.67	371.33	False
