Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
DR_1462, NP_295185.1, , 3082.0, 9, 3.89, 1.99, 3.99786
DR_1417, NP_295140.1, , 2320.3, 8, 2.93, 2.35, 4.55792
DR_0685, NP_294408.1, , 1701.7, 7, 2.15, 2.81, 5.01753
DR_1201, NP_294925.1, , 2179.3, 6, 2.75, 1.88, 2.79544
DR_2565, NP_296285.1, , 2607.0, 6, 3.29, 1.57, 2.15141
DR_A0131, NP_285455.1, , 1635.7, 6, 2.07, 2.50, 3.95926
DR_B0033, NP_051574.1, , 1377.3, 6, 1.74, 2.97, 4.72223
DR_0560, NP_294283.1, , 938.7, 5, 1.19, 3.63, 4.9086
DR_0905, NP_294629.1, , 1729.0, 5, 2.18, 1.97, 2.64796
DR_1188, NP_294912.1, , 1081.7, 5, 1.37, 3.15, 4.34508
DR_1231, NP_294955.1, , 1835.7, 5, 2.32, 1.86, 2.45361
DR_1238, NP_294962.1, , 955.7, 5, 1.21, 3.57, 4.83619
DR_1431, NP_295154.1, , 1120.0, 5, 1.41, 3.05, 4.20993
DR_1696, NP_295419.1, , 1272.0, 5, 1.61, 2.68, 3.7271
DR_2033, NP_295756.1, , 1907.7, 5, 2.41, 1.79, 2.33185
DR_2145, NP_295868.1, , 1163.0, 5, 1.47, 2.93, 4.06507
DR_2239, NP_295961.1, , 886.7, 5, 1.12, 3.85, 5.14046
DR_0121, NP_293847.1, , 626.0, 4, 0.79, 4.36, 4.74082
DR_0400, NP_294123.1, , 1200.3, 4, 1.52, 2.27, 2.69262
DR_0520, NP_294243.1, , 635.7, 4, 0.80, 4.29, 4.68884
DR_0750, NP_294474.1, , 2140.3, 4, 2.70, 1.28, 1.2492
DR_0806, NP_294530.1, , 636.0, 4, 0.80, 4.29, 4.68725
DR_1062, NP_294786.1, , 920.0, 4, 1.16, 2.97, 3.48733
DR_1371, NP_295094.1, , 746.7, 4, 0.94, 3.65, 4.15375
DR_1414, NP_295137.1, , 1150.7, 4, 1.45, 2.37, 2.81411
DR_1488, NP_295211.1, , 958.3, 4, 1.21, 2.85, 3.36119
DR_1730, NP_295453.1, , 972.3, 4, 1.23, 2.81, 3.31669
DR_1986, NP_295709.1, , 716.7, 4, 0.91, 3.81, 4.28847
DR_2133, NP_295856.1, , 1189.3, 4, 1.50, 2.29, 2.71897
DR_2137, NP_295860.1, , 564.3, 4, 0.71, 4.84, 5.09519
DR_2143, NP_295866.1, , 814.0, 4, 1.03, 3.35, 3.87415
DR_2159, NP_295882.1, , 603.3, 4, 0.76, 4.52, 4.86626
DR_2199, NP_295921.1, , 1405.3, 4, 1.78, 1.94, 2.25603
DR_2606, NP_296325.1, , 2059.3, 4, 2.60, 1.33, 1.33064
DR_A0266, NP_285589.1, , 1296.7, 4, 1.64, 2.10, 2.4752
DR_A0310, NP_285633.1, , 1916.3, 4, 2.42, 1.42, 1.48886
DR_A0332, NP_285655.1, , 1069.7, 4, 1.35, 2.55, 3.02853
DR_A0358, NP_285681.1, , 653.7, 4, 0.83, 4.17, 4.59481
DR_B0063, NP_051599.1, , 833.3, 4, 1.05, 3.27, 3.79918
DR_B0135, NP_051665.1, , 3663.3, 4, 4.63, 0.74, 0.387449
DR_C0015, NP_051687.1, , 735.3, 4, 0.93, 3.71, 4.20416
DR_0071, NP_293797.1, , 948.0, 3, 1.20, 2.16, 2.12038
DR_0183, NP_293907.1, , 2979.0, 3, 3.76, 0.69, 0.321427
DR_0196, NP_293920.1, , 730.3, 3, 0.92, 2.80, 2.70872
DR_0264, NP_293987.1, , 1394.3, 3, 1.76, 1.47, 1.35072
DR_0334, NP_294057.1, , 973.3, 3, 1.23, 2.10, 2.06374
DR_0348, NP_294071.1, , 503.3, 3, 0.64, 4.07, 3.61939
DR_0474, NP_294197.1, , 936.3, 3, 1.18, 2.19, 2.14728
DR_0512, NP_294235.1, , 713.0, 3, 0.90, 2.87, 2.76506
DR_0584, NP_294307.1, purU, 742.3, 3, 0.94, 2.76, 2.67063
DR_0740, NP_294463.1, , 2565.7, 3, 3.24, 0.80, 0.464237
