Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
CCNA_00028, YP_002515403.2, , 1821.3, 11, 0.14, 4.42, 39.022
CCNA_01156, YP_002516529.1, , 669.7, 8, 0.05, 8.75, 34.2105
CCNA_R0158, , , 49.0, 8, 0.00, 119.57, 55.0873
CCNA_01793, YP_002517166.1, , 820.0, 6, 0.06, 5.36, 23.089
CCNA_03119, YP_002518492.2, , 399.7, 6, 0.03, 10.99, 27.3722
CCNA_R0002, , , 172.0, 5, 0.01, 21.29, 26.3199
CCNA_00694, YP_002516067.1, , 1976.3, 4, 0.16, 1.48, 10.7529
CCNA_02156, YP_002517529.1, , 1046.3, 4, 0.08, 2.80, 13.2386
CCNA_02336, YP_002517709.1, , 713.7, 4, 0.06, 4.10, 14.7479
CCNA_03878, YP_002519251.1, hemH, 739.7, 4, 0.06, 3.96, 14.6064
CCNA_00798, YP_002516171.1, cydC, 1229.0, 3, 0.10, 1.79, 8.8773
CCNA_03371, YP_002518744.1, , 465.3, 3, 0.04, 4.72, 11.7463
CCNA_03672, YP_002519045.1, , 570.0, 3, 0.04, 3.85, 11.1436
CCNA_03938, YP_009020510.1, , 338.7, 3, 0.03, 6.49, 12.6915
CCNA_R0193, , , 197.0, 3, 0.02, 11.15, 14.3089
