Taxon, Treatment, Locus tag, Number fixed mutations, Number mutations f_max > 0.8, Annotation
Bacillus, 1-day, B4U62_RS00170, 1, 1, 23S ribosomal RNA
Bacillus, 1-day, B4U62_RS00390, 1, 1, stage II sporulation protein E
Bacillus, 1-day, B4U62_RS00585, 1, 1, DNA integrity scanning protein DisA
Bacillus, 1-day, B4U62_RS00685, 1, 1, DNA-directed RNA polymerase subunit beta
Bacillus, 1-day, B4U62_RS01310, 1, 3, APC family permease
Bacillus, 1-day, B4U62_RS01735, 1, 3, DUF475 domain-containing protein
Bacillus, 1-day, B4U62_RS01940, 1, 1, assimilatory nitrate reductase catalytic subunit
Bacillus, 1-day, B4U62_RS01950, 1, 1, NarK/NasA family nitrate transporter
Bacillus, 1-day, B4U62_RS02045, 1, 1, surfactin biosynthesis thioesterase SrfAD
Bacillus, 1-day, B4U62_RS02495, 2, 2, divalent metal cation transporter
Bacillus, 1-day, B4U62_RS02855, 1, 1, endopeptidase
Bacillus, 1-day, B4U62_RS03535, 1, 1, tetratricopeptide repeat protein
Bacillus, 1-day, B4U62_RS03840, 1, 1, diacylglycerol kinase
Bacillus, 1-day, B4U62_RS04785, 1, 1, glycosyltransferase
Bacillus, 1-day, B4U62_RS04835, 1, 1, aromatic acid exporter family protein
Bacillus, 1-day, B4U62_RS04860, 1, 1, hypothetical protein
Bacillus, 1-day, B4U62_RS04890, 1, 1, tRNA-Glu
Bacillus, 1-day, B4U62_RS05145, 1, 1, cold-shock protein
Bacillus, 1-day, B4U62_RS05175, 1, 2, YhcN/YlaJ family sporulation lipoprotein
Bacillus, 1-day, B4U62_RS05315, 1, 1, citrate synthase/methylcitrate synthase
Bacillus, 1-day, B4U62_RS05375, 1, 1, MerR family transcriptional regulator
Bacillus, 1-day, B4U62_RS05430, 2, 2, Na+/H+ antiporter NhaC
Bacillus, 1-day, B4U62_RS05510, 1, 1, cation:proton antiporter
Bacillus, 1-day, B4U62_RS05555, 1, 1, 3'-5' exoribonuclease YhaM
Bacillus, 1-day, B4U62_RS06285, 1, 1, beta-ketoacyl-[acyl-carrier-protein] synthase II
Bacillus, 1-day, B4U62_RS06330, 2, 3, peptide ABC transporter substrate-binding protein
Bacillus, 1-day, B4U62_RS06345, 1, 1, ABC transporter ATP-binding protein
Bacillus, 1-day, B4U62_RS06650, 1, 1, BglG family transcription antiterminator
Bacillus, 1-day, B4U62_RS06735, 1, 1, DUF4309 domain-containing protein
Bacillus, 1-day, B4U62_RS06775, 1, 1, hypothetical protein
Bacillus, 1-day, B4U62_RS07360, 1, 1, MerR family transcriptional regulator
Bacillus, 1-day, B4U62_RS07420, 1, 1, DedA family protein
Bacillus, 1-day, B4U62_RS07740, 1, 1, chemotaxis protein CheV
Bacillus, 1-day, B4U62_RS07750, 1, 2, MFS transporter
