Identifier, Size, 2C1, 2C2, 2C3, 2C4, 2C5
CCNA_00001, 673.0, , , , , 
CCNA_00002, 438.3, , , , , 
CCNA_00003, 617.7, , , , , 400:1:0.0238095:0.147059
CCNA_00004, 444.3, , , , , 
CCNA_00005, 578.0, , , , , 
CCNA_00006, 691.3, , , , , 
CCNA_00007, 205.7, , , , , 
CCNA_00008, 1198.0, , , , , 
CCNA_00009, 554.7, , , , , 
CCNA_00010, 1541.7, , , , , 
CCNA_00011, 974.3, , , , , 
CCNA_00012, 2070.7, , , , , 
CCNA_00013, 2118.3, , , , , 300:3:0.275362:0.275362
CCNA_00014, 351.7, , , , , 
CCNA_00015, 410.3, , , , , 
CCNA_00016, 342.3, , , , , 
CCNA_00017, 174.3, , , , , 
CCNA_00018, 802.7, , , , , 
CCNA_00019, 452.3, , , , , 
CCNA_00020, 165.7, , , , , 
CCNA_00021, 1647.7, 400:1:0.0574713:0.18;500:1:0.0111111:0.117647, , , , 
CCNA_00022, 503.0, , , , , 
CCNA_00023, 328.0, , , , , 
CCNA_00024, 662.7, , , , , 
CCNA_00025, 1290.3, , , , 800:3:0.328358:0.328358;300:3:0.724551:0.724551;400:1:0.00574713:0.331429, 
CCNA_00026, 2104.3, , , , , 400:1:0.0344828:0.141414
CCNA_00027, 597.0, , , , , 
CCNA_00028, 1821.3, 500:1:0.103896:0.181818;800:3:0.166667:0.166667;600:1:0.0410959:0.166667, 300:1:0.0714286:0.178571, 600:1:0:0.153846, 500:3:0.168539:0.2;800:3:0.168317:0.168317;500:1:0.119565:0.177419, 
CCNA_00029, 565.0, , , , , 
CCNA_00030, 601.7, , , , , 
CCNA_00031, 272.3, , , , , 
CCNA_00032, 278.7, , , , , 
CCNA_00033, 1722.0, , , 200:1:0.0159574:0.111111;200:1:0:0.133333;200:1:0.0163043:0.111111, , 
CCNA_00034, 216.0, , , , , 
CCNA_00035, 691.3, , , , , 
CCNA_00036, 442.0, , , , , 
CCNA_00037, 653.0, , , , , 
CCNA_00038, 424.0, , , , , 400:1:0:0.142857
CCNA_00039, 416.0, , , , , 
CCNA_00040, 489.0, 300:3:0.104:0.2;500:1:0.0413223:0.153846, , 300:3:0.0827068:0.191489, , 400:3:0.0857143:0.193182
CCNA_00041, 2342.0, , , 200:1:0.0263158:0.529412;600:1:0:0.151515, 600:3:0.103448:0.285714;400:1:0.0625:0.307692, 700:3:0.157895:0.157895;400:1:0:0.15
CCNA_00042, 468.7, , , , , 
CCNA_00043, 1260.0, , 300:3:0.207921:0.207921;500:1:0.0434783:0.145833, , , 400:1:0:0.112903
CCNA_00044, 539.7, , , , , 
CCNA_00045, 512.7, , , , , 
CCNA_00046, 383.7, , , , , 
CCNA_00047, 603.0, , , , , 
CCNA_00048, 1023.0, , , , , 
CCNA_00049, 353.3, , , , , 
CCNA_00050, 1159.3, , , , , 
CCNA_00051, 688.7, , , , , 
CCNA_00052, 384.7, , , , , 
CCNA_00053, 700.7, , , , , 
CCNA_00054, 1121.3, , , , , 
CCNA_00055, 361.7, , , , , 
CCNA_00056, 343.3, , , , , 
CCNA_00057, 456.3, , , , , 
CCNA_00058, 572.3, , 300:1:0.0853659:0.2;300:3:0.106667:0.277778, , , 
CCNA_00059, 517.3, , , , , 400:1:0:0.125
CCNA_00060, 533.3, , , , , 
CCNA_00061, 991.7, , , , , 
CCNA_00062, 853.3, , 700:3:0.130435:0.130435, , , 400:1:0.0606061:0.162162
CCNA_00063, 1224.3, , 100:1:0.0671642:0.25;100:1:0.0437956:0.155172, , , 200:1:0.0666667:0.157635
CCNA_00064, 1416.0, 500:3:0.0636943:0.176471, 500:3:0.1125:0.162791, , , 400:3:0.0645161:0.176471
CCNA_00065, 649.0, , , , , 
CCNA_00066, 278.7, , , , , 
CCNA_00067, 227.3, , , , , 
CCNA_00068, 728.3, 700:1:0.0206897:0.166667, 700:3:0.157895:0.157895, , , 
CCNA_00069, 870.7, , , , , 400:1:0:0.133333
CCNA_00070, 707.0, , , , , 
CCNA_00071, 496.7, , , , , 
CCNA_00072, 687.0, , 500:3:0.2:0.202797;400:3:0.0909091:0.16, , 500:1:0.0666667:0.170732, 500:3:0.1125:0.1125;300:3:0.125:0.178947;300:3:0.114754:0.333333
CCNA_00073, 1119.0, 300:3:0.12987:0.25974;500:1:0.05:0.136364, , , , 300:3:0.142857:0.25
CCNA_00074, 1687.3, , , , , 
CCNA_00075, 966.7, , , , , 
CCNA_00076, 283.0, , , , , 
CCNA_00077, 907.0, , , , , 
CCNA_00078, 1453.7, 400:3:0.101796:0.188235, 500:1:0.0416667:0.166667;300:1:0:0.333333, 100:3:0.0882353:0.266667, 500:3:0.186275:0.186275;500:3:0.247525:0.247525;500:3:0.227723:0.227723;700:3:0.193878:0.193878;800:3:0.138614:0.138614;700:3:0.178218:0.178218, 700:3:0.116279:0.116279
CCNA_00079, 459.7, , 500:1:0:0.195652;500:1:0:0.159091;500:1:0:0.159091;500:1:0.0416667:0.139535, , , 
CCNA_00080, 563.0, , , , , 
CCNA_00081, 260.7, , , , , 
CCNA_00082, 1359.3, , , , , 400:1:0.0512821:0.12069;400:1:0.0208333:0.135135
CCNA_00083, 1311.3, , , , , 
CCNA_00084, 1285.3, 400:3:0.0985915:0.179775, 300:3:0.103448:0.180556;300:3:0.1:0.28169;500:1:0.0555556:0.178571, , 300:1:0.0535714:0.234568;500:1:0.0615385:0.1875;500:1:0.0731707:0.163636, 400:1:0:0.125;400:1:0.1:0.153846;400:1:0.0666667:0.157895
CCNA_00085, 577.3, , , , , 
CCNA_00086, 3703.0, , , 600:3:0.0672269:0.207101, , 
CCNA_00087, 928.0, , , , , 
CCNA_00088, 1139.7, , , , , 
CCNA_00089, 1851.7, , , , , 
CCNA_00090, 830.3, , , , , 
CCNA_00091, 648.3, , , , , 
CCNA_00092, 756.7, , , , , 
CCNA_00093, 225.3, , , , , 
CCNA_00094, 800.0, , , , , 
CCNA_00095, 814.7, , , , , 
CCNA_00096, 649.3, , , , , 
CCNA_00097, 384.0, , , , 500:3:0.0952381:0.171053, 400:3:0.173913:0.185185
CCNA_00098, 220.7, , , , , 
