Identifier, Size, 2D1, 2D2, 2D3, 2D4, 2D5
DR_0001, 885.7, , 700:3:0.0860927;300:3:0.125;300:3:0.100629, 300:1:0.0552147, 600:3:0.115789, 500:1:0.0542636;500:3:0.079646;600:3:0.115385
DR_0002, 707.0, , , , , 
DR_0004, 558.0, , , , , 
DR_0006, 181.0, , , , , 
DR_0007, 56.3, , , , , 
DR_0008, 579.7, , , , , 
DR_0009, 49.3, , , , , 
DR_0010, 550.0, , , , , 
DR_0016, 145.3, , , , , 
DR_0020, 392.0, , , , , 
DR_0022, 65.3, , , , , 
DR_0025, 267.7, , , , , 
DR_0027, 1049.0, , , , , 
DR_0028, 1170.3, , , , , 
DR_0030, 237.3, , , , , 
DR_0032, 386.7, , , , , 
DR_0038, 431.0, , , , , 
DR_0039, 523.3, , , , , 
DR_0042, 116.7, , , , , 
DR_0043, 107.7, , , , , 
DR_0050, 67.7, , , , , 
DR_0056, 940.3, , , , , 
DR_0058, 726.3, , , , , 
DR_0061, 594.0, , , , , 
DR_0062, 31.0, , , , , 
DR_0064, 218.0, , , , , 
DR_0065, 1757.7, , , , , 
DR_0066, 474.7, 500:3:0.140127, , , , 
DR_0067, 498.3, , , , , 
DR_0071, 910.3, , , , , 
DR_0072, 194.0, , , , , 
DR_0073, 753.7, , , , , 
DR_0075, 2808.3, , 700:3:0.115385;600:3:0.206897;700:3:0.130435, 200:3:0.121951, 500:1:0.0314465, 500:3:0.116667;500:3:0.172619;500:3:0.0806452;600:1:0.0155039
DR_0077, 49.7, , , , , 
DR_0082, 222.7, , , , , 
DR_0084, 156.3, , , , , 
DR_0086, 157.7, , , , , 
DR_0087, 134.3, , , , , 
DR_0089, 182.7, , , , , 
DR_0091, 578.7, , , , , 
DR_0093, 1141.7, , , , , 
DR_0095, 962.0, , , , , 
DR_0096, 510.7, , , , , 
DR_0097, 246.3, , , , , 
DR_0107, 253.7, , , , , 
DR_0108, 1387.3, , , , , 
DR_0110, 231.7, , , , , 
DR_0112, 361.7, , , , , 
DR_0113, 230.7, , , , , 
DR_0115, 541.3, , , , , 500:3:0.113636
DR_0117, 430.0, , , , , 
DR_0120, 328.7, , , , , 
DR_0121, 596.0, , , , , 
DR_0126, 218.7, , , , , 
DR_0129, 1336.7, , , , , 
DR_0130, 349.0, , , , , 
DR_0133, 373.7, , , , , 
DR_0135, 39.7, , , , , 
DR_0136, 286.0, , , , , 
DR_0137, 45.7, , , , , 
DR_0139, 997.0, , , , , 
DR_0140, 108.0, , , , , 
DR_0143, 1100.7, , , , , 
DR_0144, 173.3, , , , , 
DR_0145, 691.7, , 500:1:0.0909091, 500:1:0.0397554, , 
DR_0148, 1118.0, , , , , 
DR_0151, 560.0, , , , , 
DR_0153, 380.0, , , , , 
DR_0155, 525.0, , , , , 
DR_0156, 155.7, , , , , 
DR_0160, 373.3, , , , , 
DR_0163, 761.0, , , , , 
DR_0167, 338.3, , , , , 
DR_0168, 199.3, , , , , 
DR_0173, 666.3, , , , , 
DR_0175, 138.3, , , , , 
DR_0177, 290.3, , , , , 
DR_0178, 933.0, , , , , 
DR_0179, 240.7, , , , , 
DR_0182, 1021.3, , , , , 
DR_0183, 2864.0, , , , , 
DR_0184, 407.0, , , , , 
DR_0186, 594.7, 500:3:0.257143, , , , 
DR_0187, 451.0, , , , , 
DR_0189, 123.7, , , , , 
DR_0190, 253.7, , , , , 
DR_0191, 1755.7, , , , , 
DR_0192, 187.3, , , , , 
DR_0195, 483.3, , , , , 
DR_0196, 743.3, , , , , 
DR_0197, 447.0, , , , , 
DR_0198, 402.3, , , , , 
DR_0200, 326.3, , , , , 
DR_0201, 355.3, , , , , 
DR_0203, 514.7, , , , , 
DR_0204, 512.7, , , , , 
DR_0205, 324.0, , , , , 
DR_0207, 248.0, , , , , 
DR_0209, 598.0, , , , , 
DR_0210, 260.7, , , , , 
DR_0211, 753.7, , , , , 
DR_0212, 68.7, , , , , 
DR_0214, 43.7, , , , , 
DR_0216, 82.7, , , , , 
DR_0219, 907.3, , , , , 
DR_0220, 452.3, , , , , 
DR_0222, 1298.7, , , , , 
DR_0223, 533.0, , , , , 
DR_0226, 524.3, , , , , 
DR_0227, 252.0, , , , , 
DR_0229, 938.0, , , , , 
DR_0230, 228.3, , , , , 
DR_0234, 66.3, , , , , 
DR_0235, 921.0, , , , , 
DR_0236, 93.7, , , , , 
DR_0238, 438.7, , , , , 
DR_0240, 472.0, , , , , 
DR_0241, 118.3, , , , , 
DR_0243, 1244.7, , , , , 
DR_0245, 111.7, , , , , 
DR_0247, 114.7, , , , , 
DR_0248, 435.0, , , , , 
DR_0249, 403.3, , , , , 
DR_0250, 1131.7, , , , , 
DR_0253, 178.3, , , , , 
DR_0256, 996.3, , , , , 
DR_0257, 2057.3, , , 500:1:0.0590406;500:3:0.0592334;500:1:0.0483871, , 
DR_0258, 536.7, , , , , 
DR_0259, 373.7, , 700:3:0.15, , , 
DR_0260, 327.7, , , , , 
DR_0264, 1325.0, , , , , 
DR_0267, 982.3, , , , , 
DR_0268, 677.0, , , , , 
DR_0269, 346.0, , 700:3:0.176471, , , 
DR_0271, 226.0, , , , , 
DR_0273, 197.3, , , , , 
DR_0276, 176.7, , , , , 
DR_0277, 85.3, , , , , 
DR_0279, 19.7, , , , , 
DR_0280, 832.0, , , , , 
DR_0281, 236.0, , , , , 
DR_0282, 728.3, , , , , 
DR_0283, 149.7, , , , , 
DR_0286, 344.7, , , , , 
DR_0287, 2159.7, , , , , 
DR_0288, 502.0, , , , , 
DR_0290, 893.3, , , , , 
DR_0291, 225.0, , , , , 
DR_0294, 358.3, , , , , 
DR_0295, 384.7, , , , , 
DR_0297, 381.3, , , , , 
DR_0299, 153.7, , , , , 
DR_0300, 604.3, , , , , 
DR_0302, 1202.7, , , , , 
DR_0303, 134.0, , , , , 
DR_0306, 264.0, , , , , 
DR_0307, 1315.3, , , , , 
DR_0309, 726.7, , , , , 
DR_0311, 456.7, , , , , 
DR_0315, 159.0, , , , , 
DR_0317, 315.3, , , , , 
DR_0318, 226.7, , , , , 
DR_0325, 695.0, , , , , 
DR_0326, 345.0, , , , , 
DR_0327, 783.7, , , , , 
DR_0329, 643.0, , 500:1:0.0967742, , , 
DR_0330, 1153.0, , , , , 
DR_0331, 56.3, , , , , 
DR_0332, 842.0, , , , , 
DR_0334, 926.0, , , , , 
DR_0335, 884.7, , , , , 
DR_0336, 956.7, , , , , 
DR_0337, 479.3, , , , , 
DR_0340, 229.0, 500:3:0.14, , , , 
DR_0341, 97.7, , , , , 
DR_0342, 85.7, , , , , 
DR_0343, 345.0, , , , , 
DR_0345, 377.3, , , , , 
DR_0346, 1182.3, , , , , 
DR_0348, 512.0, , , , , 
DR_0349, 1562.7, , , , , 
DR_0350, 854.7, , , , , 
DR_0353, 1395.7, , , , , 
DR_0355, 122.7, , , , , 
DR_0357, 149.0, , , , , 
DR_0358, 663.7, , , , , 
DR_0360, 79.7, , , , , 
DR_0362, 609.0, , , , , 
DR_0363, 1256.3, , , , , 
DR_0364, 735.3, 500:3:0.121951, , , , 
DR_0366, 205.7, , , , , 
DR_0367, 173.3, 500:3:0.123077, , , , 
DR_0369, 169.0, , , , , 
DR_0372, 1141.0, , , , , 
DR_0373, 860.7, , , , , 500:3:0.149068;500:3:0.101695;500:3:0.11976
DR_0375, 325.0, , , , , 
DR_0378, 156.0, , , , , 
DR_0379, 1275.3, , , , , 
DR_0380, 281.7, , , , , 
DR_0382_2, 550.7, , , , , 
DR_0383, 339.7, , , , , 
DR_0386, 757.3, , , , , 
DR_0388, 332.3, , , , , 
DR_0389, 160.7, , , , , 
DR_0390, 1058.0, , , , , 
DR_0392, 680.3, , 700:3:0.149254, , , 
DR_0393, 813.7, , , , , 
DR_0395, 687.3, , , , , 
DR_0397, 765.3, , , , , 
DR_0399, 768.0, , , , , 
DR_0400, 1194.7, , , , , 
DR_0401, 345.0, , , , , 
DR_0403, 382.0, , , , , 
DR_0405, 1746.3, , 500:3:0.122807;700:3:0.14, , , 
DR_0406, 486.3, , , , , 
DR_0408, 348.3, , , , , 
DR_0409, 366.3, , , , , 
DR_0410, 269.3, , , , , 
DR_0411, 491.7, , , , , 
DR_0412, 731.7, , , , , 
DR_0413, 154.7, , , , , 
DR_0414, 453.3, , , , , 
DR_0415, 1205.7, , , , , 
DR_0416, 224.3, , , , , 
