Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
DR_0001, NP_293727.1, , 882.3, 80, 1.11, 61.86, 266.096
DR_0075, NP_293801.1, , 2808.3, 59, 3.55, 14.33, 113.311
DR_A0212, NP_296362.1, , 682.3, 41, 0.86, 41.00, 120.968
DR_B0069, NP_051605.1, , 945.7, 29, 1.19, 20.92, 67.2531
DR_2200, NP_295922.1, , 1326.3, 28, 1.68, 14.40, 55.0554
DR_1093, NP_294817.2, , 856.3, 26, 1.08, 20.72, 60.2601
DR_r08, , , 225.0, 26, 0.28, 78.84, 94.2424
DR_0066, NP_293792.1, , 478.3, 23, 0.60, 32.81, 63.7734
DR_2344, NP_296065.1, , 490.7, 23, 0.62, 31.98, 63.1997
DR_0458, NP_294181.1, , 1853.3, 22, 2.34, 8.10, 31.991
DR_0880, NP_294604.1, , 1741.0, 22, 2.20, 8.62, 33.2311
DR_1487, NP_295210.1, , 1698.0, 22, 2.15, 8.84, 33.7296
DR_1075, NP_294799.1, , 962.3, 21, 1.22, 14.89, 42.4386
DR_2155, NP_295878.1, , 732.3, 21, 0.93, 19.56, 47.8977
DR_0364, NP_294087.1, , 735.3, 20, 0.93, 18.56, 44.695
DR_0464, NP_294187.1, , 1454.0, 20, 1.84, 9.38, 31.9211
DR_1099, NP_294823.1, , 440.3, 20, 0.56, 30.99, 54.5972
DR_2043, NP_295766.1, rplL, 346.0, 20, 0.44, 39.44, 59.3042
DR_2413, NP_296134.1, , 948.3, 20, 1.20, 14.39, 39.8628
DR_0937, NP_294661.1, , 1409.0, 19, 1.78, 9.20, 30.0722
DR_1143, NP_294867.1, , 571.3, 18, 0.72, 21.50, 42.9492
DR_1437, NP_295160.1, , 837.0, 18, 1.06, 14.67, 36.392
DR_1560, NP_295283.1, , 791.0, 18, 1.00, 15.53, 37.3546
DR_2622, NP_296341.1, , 618.3, 18, 0.78, 19.86, 41.5822
DR_0367, NP_294090.1, , 177.7, 17, 0.22, 65.27, 59.1144
DR_0465, NP_294188.1, , 551.7, 17, 0.70, 21.02, 40.3006
DR_1285, NP_295009.1, , 555.0, 17, 0.70, 20.90, 40.2032
DR_2367, NP_296088.1, , 1324.0, 17, 1.67, 8.76, 26.3367
DR_1145, NP_294869.1, , 1483.3, 16, 1.87, 7.36, 22.3823
DR_1570, NP_295293.1, , 846.7, 16, 1.07, 12.89, 30.6002
DR_1836, NP_295559.1, , 1124.0, 16, 1.42, 9.71, 26.3956
DR_A0263, NP_285586.1, , 982.7, 16, 1.24, 11.11, 28.3779
DR_1461, NP_295184.1, , 4059.7, 15, 5.13, 2.52, 8.13088
DR_A0312, NP_285635.1, , 374.0, 15, 0.47, 27.36, 39.5889
DR_0663, NP_294386.1, , 477.7, 14, 0.60, 19.99, 32.8248
DR_1260, NP_294984.1, , 636.7, 14, 0.80, 15.00, 28.9893
DR_0695, NP_294418.1, , 1534.7, 13, 1.94, 5.78, 15.7371
DR_1089, NP_294813.1, recF, 887.0, 13, 1.12, 10.00, 22.1106
DR_A0060, NP_285383.1, , 292.0, 13, 0.37, 30.37, 35.8594
DR_0243, NP_293967.1, , 1280.7, 12, 1.62, 6.39, 15.7004
DR_0510, NP_294233.1, , 440.7, 12, 0.56, 18.58, 27.5287
DR_1829, NP_295552.1, , 1212.7, 12, 1.53, 6.75, 16.2765
DR_1838, NP_295561.1, , 1874.0, 12, 2.37, 4.37, 11.8157
DR_1879, NP_295602.1, , 612.7, 12, 0.77, 13.36, 23.7744
DR_2342, NP_296063.1, , 478.0, 12, 0.60, 17.13, 26.5971
DR_0888, NP_294612.1, , 580.7, 11, 0.73, 12.92, 21.5812
DR_1524, NP_295247.1, , 1294.0, 11, 1.63, 5.80, 13.5866
DR_2575, NP_296295.1, folC, 829.0, 11, 1.05, 9.05, 17.9512
DR_B0039, NP_051579.1, , 1276.3, 11, 1.61, 5.88, 13.7179
DR_B0090, NP_051623.1, , 856.7, 11, 1.08, 8.76, 17.6215
DR_B0133, NP_051663.1, , 666.7, 11, 0.84, 11.26, 20.1611
DR_C0020_2, NP_277101.1, , 166.3, 11, 0.21, 45.13, 34.8577
DR_0267, NP_293990.1, , 953.7, 10, 1.20, 7.15, 14.3315
DR_0269, NP_293992.1, , 346.0, 10, 0.44, 19.72, 23.7773
DR_0523, NP_294246.1, , 418.7, 10, 0.53, 16.29, 21.9534
DR_0555, NP_294278.1, , 1108.7, 10, 1.40, 6.15, 13.0017
DR_1010, NP_294734.1, , 429.0, 10, 0.54, 15.90, 21.7221
DR_1031, NP_294755.1, , 827.7, 10, 1.05, 8.24, 15.6051
DR_2037, NP_295760.1, , 397.0, 10, 0.50, 17.19, 22.4607
DR_A0302, NP_285625.1, , 633.0, 10, 0.80, 10.78, 18.065
DR_r09, , , 2982.0, 10, 3.77, 2.29, 5.2083
DR_0002, NP_293728.1, dnaA, 722.3, 9, 0.91, 8.50, 14.4441
DR_0327, NP_294050.1, , 792.0, 9, 1.00, 7.75, 13.6935
