	B4U62_00030	B4U62_00220	B4U62_00250	B4U62_00255/B4U62_00260	B4U62_00375	B4U62_00575	B4U62_00640	B4U62_00685	B4U62_00690	B4U62_00710	B4U62_01085	B4U62_01245	B4U62_01300	B4U62_01310	B4U62_01325	B4U62_01755	B4U62_01785	B4U62_01930/B4U62_01935	B4U62_02030	B4U62_02035	B4U62_02095	B4U62_02195	B4U62_02360	B4U62_02380/B4U62_02385	B4U62_02480	B4U62_02515	B4U62_02890	B4U62_02895/B4U62_02900	B4U62_03840	B4U62_03905	B4U62_03910	B4U62_04075	B4U62_04590	B4U62_05145	B4U62_05220	B4U62_05325	B4U62_05355	B4U62_05430	B4U62_05450	B4U62_05555	B4U62_05595	B4U62_05630	B4U62_05645	B4U62_05670	B4U62_05715	B4U62_05750	B4U62_05800	B4U62_05895	B4U62_05900	B4U62_05915	B4U62_06130	B4U62_06285	B4U62_06305	B4U62_06330	B4U62_06335	B4U62_06340	B4U62_06345	B4U62_06350	B4U62_06430	B4U62_06435	B4U62_06450	B4U62_06655	B4U62_06660	B4U62_06935	B4U62_07015	B4U62_07305	B4U62_07355	B4U62_07365	B4U62_07580	B4U62_07650	B4U62_07675	B4U62_07685	B4U62_07725	B4U62_07730	B4U62_07750	B4U62_08015	B4U62_08065	B4U62_08175	B4U62_08265	B4U62_08395	B4U62_08400	B4U62_08450	B4U62_08515	B4U62_08790	B4U62_08835	B4U62_08860	B4U62_08865	B4U62_08890	B4U62_08900	B4U62_08915	B4U62_08930	B4U62_08935	B4U62_08940	B4U62_08955	B4U62_09020	B4U62_09030	B4U62_09035	B4U62_09050	B4U62_09270	B4U62_09275	B4U62_09345	B4U62_09350	B4U62_09355	B4U62_09360	B4U62_09790	B4U62_09960	B4U62_09975	B4U62_10370	B4U62_10420	B4U62_10430	B4U62_10470	B4U62_10530	B4U62_10770	B4U62_10890	B4U62_11480	B4U62_11490	B4U62_11735	B4U62_12005	B4U62_12015	B4U62_12035	B4U62_12050	B4U62_12110	B4U62_12305	B4U62_12315	B4U62_12420	B4U62_12460	B4U62_12480	B4U62_12645	B4U62_12890	B4U62_12910	B4U62_13110	B4U62_13160/B4U62_13165	B4U62_13230	B4U62_13385	B4U62_13505	B4U62_13520	B4U62_13550	B4U62_13565	B4U62_13595	B4U62_13615	B4U62_13785	B4U62_13820	B4U62_14015	B4U62_14040	B4U62_14160/B4U62_14165	B4U62_14225/B4U62_14230	B4U62_14390	B4U62_14430/B4U62_14435	B4U62_14485/B4U62_14490	B4U62_14595	B4U62_14620	B4U62_14745	B4U62_14880	B4U62_14905	B4U62_15030	B4U62_15370	B4U62_15405	B4U62_15485	B4U62_15590	B4U62_15720	B4U62_15780	B4U62_15915	B4U62_16095	B4U62_16155	B4U62_16295	B4U62_16495	B4U62_16615	B4U62_16880	B4U62_16995/B4U62_17000	B4U62_17060	B4U62_17125/B4U62_17130	B4U62_17270	B4U62_17380	B4U62_17550	B4U62_17555	B4U62_17650	B4U62_17655	B4U62_17755	B4U62_17815	B4U62_17850	B4U62_18095	B4U62_18305	B4U62_18310	B4U62_18315/B4U62_18320	B4U62_18325	B4U62_18330	B4U62_18435	B4U62_18630	B4U62_18670	B4U62_18745	B4U62_18770	B4U62_18865	B4U62_19200	B4U62_19240	B4U62_19295	B4U62_19345	B4U62_19370	B4U62_19425	B4U62_19435	B4U62_19580	B4U62_19585	B4U62_19670	B4U62_19840	B4U62_19940	B4U62_19995	B4U62_20050	B4U62_20225	B4U62_20225/B4U62_20230	B4U62_20360	B4U62_20610	B4U62_20820/B4U62_20825	B4U62_20840	B4U62_20850	B4U62_20910/B4U62_20915	B4U62_20960	B4U62_21000/B4U62_21005	B4U62_21210	B4U62_21215	B4U62_21470	B4U62_21515	B4U62_21680	B4U62_21815	B4U62_22025	B4U62_22165	B4U62_22445/B4U62_22450	B4U62_22480	B4U62_22535/B4U62_22540
frequency_L1B4_D200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L2B3_D100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L0B5_D100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
frequency_L2B3_D300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L1B1_D200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
frequency_L2B3_D200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L1B1_D300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
frequency_L2B4_D300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L0B1_D100	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
frequency_L0B4_D200	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
