Position, Gene, Allele, Annotation, Test statistic, P-value, Deletion index, Fold reduction, Deletion P-value, Duplication index, Fold increase, Duplication pvalue, Passed?, AC:100, DP:100, AC:200, DP:200, AC:300, DP:300, AC:400, DP:400, AC:500, DP:500, AC:600, DP:600, AC:700, DP:700, AC:800, DP:800, AC:900, DP:900
2725, FFI16_RS30400, A->C, unknown, -1.65905190808, 0.3884, 9, 1, 1, 1, 1, 1, FAIL, 2.0, 78.0, 5.0, 258.0, 4.0, 134.0, 6.0, 27.0, 0.0, 46.0, 3.0, 76.0, 2.0, 77.0, 4.0, 60.0, 4.0, 68.0
2738, FFI16_RS30400, T->G, unknown, -1.044298947, 0.3834, 9, 1, 1, 1, 1, 1, FAIL, 5.0, 72.0, 12.0, 232.0, 8.0, 133.0, 7.0, 28.0, 3.0, 45.0, 4.0, 72.0, 4.0, 71.0, 1.0, 57.0, 3.0, 63.0
2743, FFI16_RS30400, A->T, unknown, -2.24869634573, 0.3843, 9, 1, 1, 1, 1, 1, FAIL, 2.0, 72.0, 4.0, 231.0, 3.0, 134.0, 8.0, 26.0, 0.0, 47.0, 0.0, 72.0, 1.0, 69.0, 2.0, 55.0, 0.0, 62.0
3659, FFI16_RS00010, G->T, missense, -0.0504075697896, 0.3767, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 58.0, 1.0, 181.0, 0.0, 121.0, 0.0, 25.0, 0.0, 22.0, 11.0, 50.0, 3.0, 57.0, 2.0, 40.0, 4.0, 50.0
3660, FFI16_RS00010, G->T, missense, 0.393087541409, 0.3148, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 59.0, 0.0, 183.0, 1.0, 121.0, 0.0, 25.0, 0.0, 22.0, 9.0, 50.0, 3.0, 57.0, 2.0, 41.0, 4.0, 50.0
3664, FFI16_RS00010, G->T, synonymous, 0.67178892632, 0.2012, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 58.0, 1.0, 175.0, 2.0, 120.0, 0.0, 24.0, 0.0, 17.0, 10.0, 46.0, 3.0, 55.0, 2.0, 39.0, 4.0, 45.0
3665, FFI16_RS00010, G->T, missense, 1.03339686075, 0.1681, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 59.0, 0.0, 181.0, 2.0, 125.0, 0.0, 25.0, 0.0, 18.0, 8.0, 46.0, 5.0, 56.0, 2.0, 42.0, 4.0, 47.0
3666, FFI16_RS00010, C->A, missense, 0.0792170503127, 0.3559, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 59.0, 0.0, 181.0, 0.0, 124.0, 0.0, 25.0, 0.0, 18.0, 13.0, 46.0, 2.0, 57.0, 1.0, 44.0, 3.0, 47.0
3667, FFI16_RS00010, C->A, synonymous, 0.169692036898, 0.3748, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 59.0, 2.0, 178.0, 0.0, 125.0, 0.0, 28.0, 1.0, 18.0, 9.0, 47.0, 1.0, 56.0, 4.0, 45.0, 6.0, 49.0
3670, FFI16_RS00010, C->A, synonymous, 0.316164677927, 0.3081, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 58.0, 1.0, 176.0, 1.0, 123.0, 0.0, 28.0, 1.0, 16.0, 8.0, 48.0, 3.0, 55.0, 1.0, 44.0, 6.0, 49.0
3671, FFI16_RS00010, C->T, synonymous, -1.02971860066, 0.381, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 58.0, 0.0, 176.0, 0.0, 122.0, 0.0, 28.0, 0.0, 16.0, 9.0, 48.0, 2.0, 55.0, 0.0, 44.0, 2.0, 49.0
3674, FFI16_RS00010, C->G, missense, 0.909618070395, 0.2729, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 61.0, 0.0, 178.0, 1.0, 122.0, 0.0, 28.0, 0.0, 17.0, 6.0, 48.0, 3.0, 55.0, 1.0, 46.0, 2.0, 48.0
3684, FFI16_RS00010, A->T, missense, 0.848089153709, 0.1552, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 56.0, 3.0, 171.0, 0.0, 120.0, 0.0, 28.0, 0.0, 19.0, 9.0, 47.0, 5.0, 51.0, 4.0, 46.0, 4.0, 48.0
3685, FFI16_RS00010, C->A, synonymous, 1.49103466034, 0.1063, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 55.0, 1.0, 171.0, 0.0, 120.0, 0.0, 28.0, 0.0, 19.0, 8.0, 47.0, 7.0, 51.0, 5.0, 46.0, 4.0, 49.0
3691, FFI16_RS00010, G->T, synonymous, 1.06872289381, 0.1459, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 55.0, 1.0, 166.0, 1.0, 115.0, 0.0, 27.0, 0.0, 20.0, 15.0, 48.0, 6.0, 51.0, 2.0, 46.0, 5.0, 50.0
3698, FFI16_RS00010, G->T, missense, 1.4478868054, 0.2151, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 52.0, 0.0, 157.0, 1.0, 112.0, 0.0, 26.0, 0.0, 20.0, 8.0, 44.0, 6.0, 49.0, 3.0, 46.0, 0.0, 48.0
4343, FFI16_RS29845, A->C, synonymous, 1.12790979903, 0.1428, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 154.0, 7.0, 461.0, 1.0, 228.0, 0.0, 46.0, 5.0, 41.0, 2.0, 104.0, 2.0, 122.0, 4.0, 83.0, 1.0, 82.0
4899, FFI16_RS00015, A->C, synonymous, 0.95319933112, 0.0854, 9, 1, 1, 1, 1, 1, PASS, 1.0, 120.0, 5.0, 337.0, 3.0, 170.0, 3.0, 30.0, 4.0, 30.0, 5.0, 72.0, 1.0, 61.0, 3.0, 45.0, 2.0, 46.0
4922, FFI16_RS00015, G->C, synonymous, 1.86142493576, 0.0804, 9, 1, 1, 1, 1, 1, PASS, 0.0, 116.0, 3.0, 331.0, 0.0, 167.0, 2.0, 25.0, 4.0, 27.0, 5.0, 74.0, 2.0, 56.0, 1.0, 33.0, 3.0, 41.0
4933, FFI16_RS00015, T->G, synonymous, 1.90243898554, 0.0157, 9, 1, 1, 1, 1, 1, PASS, 0.0, 114.0, 1.0, 297.0, 0.0, 163.0, 3.0, 20.0, 6.0, 33.0, 10.0, 72.0, 4.0, 58.0, 6.0, 27.0, 4.0, 37.0
4939, FFI16_RS00015, G->C, synonymous, 2.31121072144, 0.1463, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 110.0, 0.0, 282.0, 0.0, 161.0, 2.0, 15.0, 0.0, 30.0, 2.0, 66.0, 3.0, 53.0, 3.0, 24.0, 1.0, 33.0
4941, FFI16_RS00015, A->C, missense, 2.17442984554, 0.0679, 9, 1, 1, 1, 1, 1, PASS, 0.0, 112.0, 3.0, 287.0, 1.0, 162.0, 2.0, 17.0, 1.0, 31.0, 2.0, 67.0, 2.0, 54.0, 4.0, 26.0, 4.0, 36.0
4945, FFI16_RS00015, T->G, missense, 4.08076554556, 0.0615, 9, 1, 1, 1, 1, 1, PASS, 0.0, 112.0, 1.0, 290.0, 0.0, 166.0, 3.0, 17.0, 1.0, 32.0, 0.0, 68.0, 1.0, 57.0, 3.0, 28.0, 2.0, 41.0
4948, FFI16_RS00015, G->C, missense, 0.529772589395, 0.2075, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 110.0, 4.0, 299.0, 0.0, 169.0, 3.0, 15.0, 2.0, 34.0, 0.0, 67.0, 2.0, 59.0, 4.0, 28.0, 4.0, 41.0
4949, FFI16_RS00015, A->C, synonymous, 1.23710376402, 0.0199, 9, 1, 1, 1, 1, 1, PASS, 0.0, 110.0, 6.0, 296.0, 2.0, 169.0, 3.0, 15.0, 7.0, 35.0, 11.0, 67.0, 9.0, 60.0, 3.0, 28.0, 5.0, 41.0
4954, FFI16_RS00015, A->C, missense, 1.22647888892, 0.0235, 9, 1, 1, 1, 1, 1, PASS, 0.0, 107.0, 4.0, 273.0, 1.0, 160.0, 3.0, 15.0, 6.0, 32.0, 5.0, 66.0, 8.0, 55.0, 5.0, 30.0, 9.0, 45.0
4954, FFI16_RS00015, A->T, missense, 2.44164765836, 0.0392, 9, 1, 1, 1, 1, 1, PASS, 0.0, 107.0, 2.0, 273.0, 1.0, 160.0, 2.0, 15.0, 3.0, 32.0, 11.0, 66.0, 1.0, 55.0, 5.0, 30.0, 1.0, 45.0
4959, FFI16_RS00015, C->G, synonymous, 1.12889902681, 0.1294, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 104.0, 3.0, 256.0, 1.0, 151.0, 0.0, 12.0, 5.0, 27.0, 6.0, 63.0, 4.0, 49.0, 2.0, 27.0, 2.0, 46.0
4961, FFI16_RS00015, G->C, missense, 0.378492882458, 0.3702, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 104.0, 2.0, 258.0, 1.0, 151.0, 2.0, 12.0, 0.0, 27.0, 0.0, 64.0, 4.0, 49.0, 3.0, 27.0, 1.0, 45.0
4961, FFI16_RS00015, G->T, missense, 1.97525606198, 0.0271, 9, 1, 1, 1, 1, 1, PASS, 0.0, 104.0, 2.0, 258.0, 0.0, 151.0, 3.0, 12.0, 4.0, 27.0, 6.0, 64.0, 1.0, 49.0, 2.0, 27.0, 4.0, 45.0
4962, FFI16_RS00015, A->C, missense, 1.1113547221, 0.0203, 9, 1, 1, 1, 1, 1, PASS, 2.0, 104.0, 5.0, 259.0, 2.0, 152.0, 4.0, 12.0, 5.0, 27.0, 7.0, 63.0, 11.0, 48.0, 6.0, 26.0, 6.0, 46.0
