Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
FFI16_RS26040, WP_144298328.1, , 13887.3, 14, 15.57, 0.82, 0.371785
FFI16_RS14015, WP_138815791.1, , 9752.3, 13, 10.94, 1.08, 1.18925
FFI16_RS14010, WP_138815792.1, , 8498.3, 12, 9.53, 1.15, 1.38108
FFI16_RS14085, WP_144298325.1, , 5645.0, 11, 6.33, 1.58, 2.85023
FFI16_RS27125, WP_138813253.1, , 3626.0, 10, 4.07, 2.24, 4.70499
FFI16_RS07540, WP_138814748.1, , 4792.3, 9, 5.37, 1.52, 2.35071
FFI16_RS14090, WP_138815778.1, , 5597.0, 9, 6.28, 1.30, 1.70021
FFI16_RS06050, WP_138814518.1, , 9795.7, 8, 10.99, 0.66, 0.155611
FFI16_RS23720, WP_138817061.1, , 3694.7, 8, 4.14, 1.76, 2.81096
FFI16_RS00320, WP_138813720.1, hrpB, 1841.3, 7, 2.07, 3.08, 5.22728
FFI16_RS08630, WP_138814921.1, , 2812.0, 7, 3.15, 2.02, 3.17346
FFI16_RS09990, WP_138815143.1, , 5887.3, 7, 6.60, 0.96, 0.714238
FFI16_RS10175, WP_138815174.1, , 4029.7, 7, 4.52, 1.41, 1.76358
FFI16_RS17900, WP_138816147.1, , 3815.0, 7, 4.28, 1.49, 1.95432
FFI16_RS20990, WP_138816670.1, , 4062.7, 7, 4.56, 1.40, 1.73596
FFI16_RS22450, WP_138816871.1, , 1843.7, 7, 2.07, 3.08, 5.22043
FFI16_RS24825, WP_138817225.1, mdoH, 1947.3, 7, 2.18, 2.91, 4.93587
FFI16_RS00630, WP_138813770.1, , 1533.3, 6, 1.72, 3.17, 4.77584
FFI16_RS02365, WP_138813993.1, , 1585.3, 6, 1.78, 3.07, 4.62392
FFI16_RS03090, WP_138814096.1, , 3727.3, 6, 4.18, 1.31, 1.41213
FFI16_RS03665, WP_138814189.1, , 3902.3, 6, 4.38, 1.25, 1.28693
FFI16_RS05060, WP_138814383.1, cadA, 1910.0, 6, 2.14, 2.55, 3.80526
FFI16_RS07950, WP_138814815.1, , 2494.3, 6, 2.80, 1.95, 2.73522
FFI16_RS09150, WP_138814995.1, , 1823.3, 6, 2.04, 2.67, 4.00434
FFI16_RS09715, WP_138815095.1, , 1435.7, 6, 1.61, 3.39, 5.07982
FFI16_RS09985, WP_138815142.1, , 8415.7, 6, 9.44, 0.58, 0.096022
FFI16_RS10405, WP_017137496.1, acnB, 2070.0, 6, 2.32, 2.35, 3.46905
FFI16_RS10540, WP_138815232.1, , 7770.0, 6, 8.71, 0.63, 0.144092
FFI16_RS12525, WP_138817568.1, , 3885.7, 6, 4.36, 1.25, 1.29832
FFI16_RS12705, WP_138817540.1, ggt, 1407.7, 6, 1.58, 3.46, 5.17195
FFI16_RS13170, WP_138815944.1, , 2322.7, 6, 2.60, 2.09, 3.00784
FFI16_RS20140, WP_138816486.1, , 2068.0, 6, 2.32, 2.35, 3.47303
FFI16_RS21895, WP_138816806.1, , 1379.3, 6, 1.55, 3.53, 5.2678
FFI16_RS27905, WP_138813362.1, ppk1, 1706.3, 6, 1.91, 2.85, 4.29446
FFI16_RS29230, WP_138813541.1, dgcA, 1607.0, 6, 1.80, 3.03, 4.56243
FFI16_RS01090, WP_099547656.1, , 1429.0, 5, 1.60, 2.84, 3.73694
FFI16_RS02460, WP_078738903.1, , 1484.7, 5, 1.67, 2.73, 3.59548
FFI16_RS02640, WP_138814039.1, , 1588.3, 5, 1.78, 2.55, 3.35046
FFI16_RS03930, WP_138814222.1, , 1206.7, 5, 1.35, 3.36, 4.38288
FFI16_RS06800, WP_138814638.1, , 1523.0, 5, 1.71, 2.66, 3.50228
FFI16_RS06855, WP_138814649.1, , 1393.3, 5, 1.56, 2.91, 3.83151
FFI16_RS09640, WP_138815081.1, , 9445.3, 5, 10.59, 0.43, 0.0200342
FFI16_RS10325, WP_138815196.1, , 3812.0, 5, 4.28, 1.06, 0.856244
FFI16_RS10760, WP_138815266.1, , 981.0, 5, 1.10, 4.13, 5.21414
FFI16_RS10915, WP_138815293.1, , 2006.0, 5, 2.25, 2.02, 2.55126
FFI16_RS12005, WP_138817659.1, deoA, 984.7, 5, 1.10, 4.12, 5.19867
FFI16_RS13230, WP_138815933.1, , 1336.0, 5, 1.50, 3.03, 3.99015
FFI16_RS17025, WP_138816032.1, brnQ, 1061.0, 5, 1.19, 3.82, 4.89469
FFI16_RS17740, WP_138816121.1, , 2071.0, 5, 2.32, 1.96, 2.44857
FFI16_RS19855, WP_138816447.1, , 2403.7, 5, 2.70, 1.69, 1.99173
FFI16_RS20710, WP_003208700.1, , 1033.0, 5, 1.16, 3.92, 5.00305
FFI16_RS22325, WP_017138277.1, , 1037.3, 5, 1.16, 3.91, 4.98617
FFI16_RS23040, WP_138816962.1, ggt, 1396.7, 5, 1.57, 2.90, 3.82236
FFI16_RS23385, WP_138817453.1, , 1004.3, 5, 1.13, 4.04, 5.11791
FFI16_RS24090, WP_056860528.1, mutL, 1441.3, 5, 1.62, 2.81, 3.70507
FFI16_RS25555, WP_138817326.1, , 2308.0, 5, 2.59, 1.76, 2.11243
FFI16_RS25885, WP_138817372.1, , 7829.0, 5, 8.78, 0.52, 0.0649092
FFI16_RS27120, WP_138813252.1, , 3634.0, 5, 4.08, 1.12, 0.952141
FFI16_RS27675, WP_138813327.1, , 1600.0, 5, 1.79, 2.53, 3.32416
FFI16_RS27690, WP_138813330.1, , 1210.0, 5, 1.36, 3.35, 4.3722
FFI16_RS28955, WP_138813502.1, , 1024.3, 5, 1.15, 3.96, 5.03745
FFI16_RS01520, WP_138813889.1, , 700.0, 4, 0.79, 4.63, 4.76554
FFI16_RS02245, WP_056858691.1, , 1076.7, 4, 1.21, 3.01, 3.36898
FFI16_RS02380, WP_138813995.1, , 626.7, 4, 0.70, 5.18, 5.14396
FFI16_RS04455, WP_138814299.1, , 1779.7, 4, 2.00, 1.82, 1.95092
FFI16_RS04935, WP_138814365.1, xdhA, 1204.3, 4, 1.35, 2.69, 3.03004
FFI16_RS05280, WP_138814422.1, , 1121.7, 4, 1.26, 2.89, 3.24374
FFI16_RS05300, WP_138814426.1, , 629.0, 4, 0.71, 5.16, 5.13132
FFI16_RS05520, WP_138814454.1, , 733.3, 4, 0.82, 4.42, 4.60866
FFI16_RS06520, WP_138814588.1, , 602.3, 4, 0.68, 5.39, 5.28145
FFI16_RS07905, WP_138814807.1, preA, 983.0, 4, 1.10, 3.30, 3.65267
FFI16_RS08230, WP_138814859.1, , 1233.7, 4, 1.38, 2.63, 2.95859
FFI16_RS08875, WP_138814951.1, clpA, 1749.7, 4, 1.96, 1.85, 1.9941
FFI16_RS09480, WP_138815052.1, , 976.0, 4, 1.09, 3.32, 3.67523
FFI16_RS10030, WP_138815149.1, , 1271.3, 4, 1.43, 2.55, 2.87046
FFI16_RS10955, WP_138815299.1, , 2097.7, 4, 2.35, 1.55, 1.55389
FFI16_RS11150, WP_138817784.1, , 751.0, 4, 0.84, 4.32, 4.52867
FFI16_RS12210, WP_138817622.1, , 2444.0, 4, 2.74, 1.33, 1.22094
FFI16_RS12490, WP_138817575.1, , 1061.3, 4, 1.19, 3.06, 3.4134
FFI16_RS12715, WP_138817538.1, , 2659.3, 4, 2.98, 1.22, 1.05319
FFI16_RS12950, WP_138817497.1, , 1750.3, 4, 1.96, 1.85, 1.99323
FFI16_RS13020, WP_138817485.1, , 2312.0, 4, 2.59, 1.40, 1.33768
FFI16_RS13205, WP_138815937.1, , 675.3, 4, 0.76, 4.80, 4.88768
FFI16_RS14225, WP_138815760.1, , 1408.3, 4, 1.58, 2.30, 2.57701
FFI16_RS14380, WP_138815738.1, , 674.7, 4, 0.76, 4.81, 4.89071
FFI16_RS15065, WP_138817407.1, , 1139.7, 4, 1.28, 2.85, 3.19545
FFI16_RS15090, WP_138815626.1, , 643.3, 4, 0.72, 5.04, 5.05391
