	B4U62_00090	B4U62_00190	B4U62_00245	B4U62_00245/B4U62_00250	B4U62_00310	B4U62_00315	B4U62_00325	B4U62_00455	B4U62_00570	B4U62_00690	B4U62_00710	B4U62_00815	B4U62_00895/B4U62_00900	B4U62_00910	B4U62_00965/B4U62_00970	B4U62_01070	B4U62_01075	B4U62_01130/B4U62_01135	B4U62_01280	B4U62_01305/B4U62_01310	B4U62_01310	B4U62_01620	B4U62_01680	B4U62_01725	B4U62_01810	B4U62_01825	B4U62_01835	B4U62_01875	B4U62_01980	B4U62_02025	B4U62_02030	B4U62_02035	B4U62_02040	B4U62_02050	B4U62_02080	B4U62_02160/B4U62_02165	B4U62_02220	B4U62_02250	B4U62_02265	B4U62_02270	B4U62_02280	B4U62_02330	B4U62_02350	B4U62_02385	B4U62_02390	B4U62_02450	B4U62_02460	B4U62_02505	B4U62_02535	B4U62_02545	B4U62_02550	B4U62_02550/B4U62_02555	B4U62_02560	B4U62_02605	B4U62_02615	B4U62_02625/B4U62_02630	B4U62_02755	B4U62_02840	B4U62_02850	B4U62_02910	B4U62_02915	B4U62_03075	B4U62_03140	B4U62_03190	B4U62_03215	B4U62_03335	B4U62_03365/B4U62_03370	B4U62_03510	B4U62_03560	B4U62_03620	B4U62_03635/B4U62_03640	B4U62_03655	B4U62_03725	B4U62_03740	B4U62_03785	B4U62_03790	B4U62_03845	B4U62_03910	B4U62_03970	B4U62_03985	B4U62_03995	B4U62_04055	B4U62_04135	B4U62_04175	B4U62_04215	B4U62_04220	B4U62_04235	B4U62_04260	B4U62_04290	B4U62_04315	B4U62_04320	B4U62_04340/B4U62_04345	B4U62_04355	B4U62_04385	B4U62_04480	B4U62_04495/B4U62_04500	B4U62_04580	B4U62_04635	B4U62_04645	B4U62_04655	B4U62_04670	B4U62_04715	B4U62_04790	B4U62_04820/B4U62_04825	B4U62_04860	B4U62_04975	B4U62_05015	B4U62_05025	B4U62_05090	B4U62_05145	B4U62_05205	B4U62_05225	B4U62_05290	B4U62_05315	B4U62_05380	B4U62_05390	B4U62_05400	B4U62_05420	B4U62_05450	B4U62_05505	B4U62_05545	B4U62_05550	B4U62_05595	B4U62_05635	B4U62_05715	B4U62_05730	B4U62_05750	B4U62_05765	B4U62_05785	B4U62_05800	B4U62_05920	B4U62_06005	B4U62_06090	B4U62_06110	B4U62_06150	B4U62_06175/B4U62_06180	B4U62_06230	B4U62_06250/B4U62_06255	B4U62_06265	B4U62_06290	B4U62_06325/B4U62_06330	B4U62_06330	B4U62_06335	B4U62_06340	B4U62_06345	B4U62_06350	B4U62_06385	B4U62_06445	B4U62_06510/B4U62_06515	B4U62_06580	B4U62_06585/B4U62_06590	B4U62_06745/B4U62_06750	B4U62_06785	B4U62_06800/B4U62_06805	B4U62_06855	B4U62_06915	B4U62_06965	B4U62_07115	B4U62_07120	B4U62_07140/B4U62_07145	B4U62_07170	B4U62_07175	B4U62_07235	B4U62_07250/B4U62_07255	B4U62_07340	B4U62_07380	B4U62_07535	B4U62_07545	B4U62_07555	B4U62_07575	B4U62_07645	B4U62_07645/B4U62_07650	B4U62_07650	B4U62_07655	B4U62_07675/B4U62_07680	B4U62_07685	B4U62_07700	B4U62_07705	B4U62_07750	B4U62_07785	B4U62_07915	B4U62_07920	B4U62_07960/B4U62_07965	B4U62_08095/B4U62_08100	B4U62_08100	B4U62_08105	B4U62_08155	B4U62_08215	B4U62_08310	B4U62_08340	B4U62_08360	B4U62_08370	B4U62_08380	B4U62_08400	B4U62_08470	B4U62_08555	B4U62_08575	B4U62_08610	B4U62_08730	B4U62_08735/B4U62_08740	B4U62_08805/B4U62_08810	B4U62_08815	B4U62_08850	B4U62_08860	B4U62_08870	B4U62_08875	B4U62_08900	B4U62_08955	B4U62_08965	B4U62_09030/B4U62_09035	B4U62_09050	B4U62_09105	B4U62_09165	B4U62_09190	B4U62_09205	B4U62_09220	B4U62_09225	B4U62_09270	B4U62_09275/B4U62_09280	B4U62_09335	B4U62_09345	B4U62_09350	B4U62_09355	B4U62_09360	B4U62_09365	B4U62_09465	B4U62_09535	B4U62_09545	B4U62_09585	B4U62_09705/B4U62_09710	B4U62_09715	B4U62_09735	B4U62_09740	B4U62_09815	B4U62_09865/B4U62_09870	B4U62_09870	B4U62_09960	B4U62_09965	B4U62_09975	B4U62_10035	B4U62_10125	B4U62_10155	B4U62_10210	B4U62_10280	B4U62_10350	B4U62_10515	B4U62_10530	B4U62_10565	B4U62_10670	B4U62_10755	B4U62_10770	B4U62_10805	B4U62_11090	B4U62_11130/B4U62_11135	B4U62_11150/B4U62_11155	B4U62_11350	B4U62_11365	B4U62_11390	B4U62_11475	B4U62_11500	B4U62_11610	B4U62_11625	B4U62_11805	B4U62_11825	B4U62_11835	B4U62_11890	B4U62_11940	B4U62_11970	B4U62_12080	B4U62_12130	B4U62_12150	B4U62_12155	B4U62_12375	B4U62_12380	B4U62_12390	B4U62_12445	B4U62_12455	B4U62_12465/B4U62_12470	B4U62_12540	B4U62_12670	B4U62_12675	B4U62_12695	B4U62_12715	B4U62_12790	B4U62_12890	B4U62_12935	B4U62_12950	B4U62_12950/B4U62_12955	B4U62_12970	B4U62_13050	B4U62_13085	B4U62_13185	B4U62_13210	B4U62_13240	B4U62_13285	B4U62_13295	B4U62_13315	B4U62_13455	B4U62_13500	B4U62_13500/B4U62_13505	B4U62_13560	B4U62_13615	B4U62_13640	B4U62_13695	B4U62_13705	B4U62_13725	B4U62_13780	B4U62_13795	B4U62_13925/B4U62_13930	B4U62_13955	B4U62_14105	B4U62_14215/B4U62_14220	B4U62_14590	B4U62_14625	B4U62_14655	B4U62_14745	B4U62_14840	B4U62_14905	B4U62_14925	B4U62_14960	B4U62_15110	B4U62_15145	B4U62_15150	B4U62_15165	B4U62_15195	B4U62_15210	B4U62_15285	B4U62_15300	B4U62_15315	B4U62_15415	B4U62_15445	B4U62_15535	B4U62_15535/B4U62_15540	B4U62_15600	B4U62_15630	B4U62_15640	B4U62_15720	B4U62_15725	B4U62_15740	B4U62_15790	B4U62_15800	B4U62_15805	B4U62_15905	B4U62_15915	B4U62_15990	B4U62_16110/B4U62_16115	B4U62_16115	B4U62_16175	B4U62_16225	B4U62_16245	B4U62_16290	B4U62_16315	B4U62_16325	B4U62_16345	B4U62_16350	B4U62_16405/B4U62_16410	B4U62_16440	B4U62_16515	B4U62_16550	B4U62_16580	B4U62_16585	B4U62_16880	B4U62_16910	B4U62_16975	B4U62_16990	B4U62_17015	B4U62_17055	B4U62_17065	B4U62_17195	B4U62_17245	B4U62_17295/B4U62_17300	B4U62_17385	B4U62_17435	B4U62_17450	B4U62_17505	B4U62_17530	B4U62_17535	B4U62_17600	B4U62_17630	B4U62_17635	B4U62_17655	B4U62_17675	B4U62_17730	B4U62_17810	B4U62_17920	B4U62_17930	B4U62_17980	B4U62_18065	B4U62_18070	B4U62_18090/B4U62_18095	B4U62_18095	B4U62_18180	B4U62_18190	B4U62_18285	B4U62_18300	B4U62_18305	B4U62_18310	B4U62_18315/B4U62_18320	B4U62_18320	B4U62_18325	B4U62_18325/B4U62_18330	B4U62_18360	B4U62_18400	B4U62_18410	B4U62_18440	B4U62_18505	B4U62_18670	B4U62_18690	B4U62_18750	B4U62_18865	B4U62_18895	B4U62_18925	B4U62_18945	B4U62_19025	B4U62_19110	B4U62_19150	B4U62_19175	B4U62_19185	B4U62_19285/B4U62_19290	B4U62_19295	B4U62_19355	B4U62_19395	B4U62_19475	B4U62_19650	B4U62_19710	B4U62_19745	B4U62_19765	B4U62_19900	B4U62_19955	B4U62_19985	B4U62_20000	B4U62_20020	B4U62_20025	B4U62_20075	B4U62_20080	B4U62_20100	B4U62_20105	B4U62_20230	B4U62_20360	B4U62_20445	B4U62_20475	B4U62_20480	B4U62_20490	B4U62_20725	B4U62_20835	B4U62_20870	B4U62_20885	B4U62_21090	B4U62_21110	B4U62_21125	B4U62_21155	B4U62_21160	B4U62_21225	B4U62_21275	B4U62_21300	B4U62_21335	B4U62_21350	B4U62_21420/B4U62_21425	B4U62_21470	B4U62_21485	B4U62_21640	B4U62_21650	B4U62_21660/B4U62_21665	B4U62_21680	B4U62_22035/B4U62_22040	B4U62_22070	B4U62_22175	B4U62_22480
frequency_L0S4_D100	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L0S5_D100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
frequency_L2S2_D100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L2S5_D100	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L1S5_D100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L1S4_D100	1	1	4	0	1	0	1	0	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	2	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	3	1	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	1	1	0	1	0	1	2	0	0	1	0	0	2	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	0	2	0	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	2	1	1	0	1	1	0	1	1	0	1	2	1	1	1	0	0	0	0	1	1	1	2	0	1	1	1	0	1	0	1	0	0	2	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	1	2	1	1	0	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	2	2	1	0	0	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1
frequency_L0S3_D100	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
frequency_L2S3_D100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L0S1_D100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L2S1_D100	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
