Identifier, Size, 0J1, 0J2, 0J3, 0J4, 0J5
FFI39_RS00005, 1175.3, , , , , 
FFI39_RS00010, 859.0, , , , , 
FFI39_RS00015, 2010.7, , , , , 
FFI39_RS00020, 438.7, , , , , 
FFI39_RS00025, 730.3, , , , , 
FFI39_RS00030, 205.7, , , , , 
FFI39_RS00035, 853.0, , , , , 
FFI39_RS00040, 961.3, , , , , 
FFI39_RS00045, 1405.0, , , , , 
FFI39_RS00050, 715.7, , , , , 
FFI39_RS00055, 801.3, , , , , 
FFI39_RS00060, 600.7, , , , , 
FFI39_RS00065, 549.3, , , , , 
FFI39_RS00070, 449.7, , , , , 
FFI39_RS00075, 873.3, , , , , 
FFI39_RS00080, 971.0, , , , , 
FFI39_RS00085, 679.7, , , , , 
FFI39_RS00090, 1375.7, , , , , 
FFI39_RS00095, 2629.7, , , , , 
FFI39_RS00100, 1063.3, , , , , 
FFI39_RS00105, 640.0, , , , , 
FFI39_RS00110, 400.3, , , , , 
FFI39_RS00115, 336.0, , , , , 
FFI39_RS00120, 622.0, , , , , 
FFI39_RS00125, 428.7, , , , , 
FFI39_RS00130, 1334.0, , , 500:3:0.139535:0.263158;600:3:0.209302:0.315789;600:3:0.257143:0.285714;600:3:0.128205:0.266667;300:3:0.282051:0.428571, , 
FFI39_RS00135, 391.7, , , , , 
FFI39_RS00140, 402.7, , , , , 
FFI39_RS00145, 683.0, , , , , 
FFI39_RS00150, 507.0, , , , , 
FFI39_RS00155, 718.7, , , , , 
FFI39_RS00160, 1875.0, 300:3:0.846154:0.8625, , , , 
FFI39_RS00165, 1076.0, , , , , 
FFI39_RS00170, 847.7, , , , , 
FFI39_RS00175, 1549.3, , , 600:1:0.02:0.16, , 
FFI39_RS00180, 1003.0, , , , , 
FFI39_RS00185, 647.0, , , , , 
FFI39_RS00190, 736.7, , , , , 
FFI39_RS00195, 478.3, , , , , 
FFI39_RS00200, 778.7, , , , , 
FFI39_RS00205, 2747.0, , , , , 
FFI39_RS00210, 685.3, , , , , 
FFI39_RS00215, 420.0, , , , , 
FFI39_RS00220, 467.3, , , , , 
FFI39_RS00225, 483.0, , , , , 
FFI39_RS00230, 2271.0, , , 300:3:0.196429:0.2, , 
FFI39_RS00235, 1501.3, , , , , 
FFI39_RS00240, 856.3, , , 300:3:0.12963:0.225806, , 100:3:0.111111:0.233333
FFI39_RS00245, 655.0, , , , , 
