Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
FFI39_RS09450, WP_138828876.1, , 3292.0, 8, 2.76, 2.00, 4.89491
FFI39_RS21585, WP_138829016.1, , 6074.7, 8, 5.09, 1.09, 1.94436
FFI39_RS00615, WP_046683185.1, , 3687.7, 7, 3.09, 1.56, 3.26255
FFI39_RS18680, WP_138829142.1, , 2394.0, 7, 2.01, 2.41, 5.37914
FFI39_RS08090, WP_046682644.1, , 2306.7, 6, 1.93, 2.14, 4.2493
FFI39_RS09390, WP_052755510.1, , 2338.7, 6, 1.96, 2.11, 4.18869
FFI39_RS24150, WP_046686139.1, rpoD, 1822.7, 6, 1.53, 2.71, 5.32696
FFI39_RS27225, WP_138829060.1, , 3423.0, 6, 2.87, 1.45, 2.64117
FFI39_RS08215, WP_046682630.1, , 3272.7, 5, 2.74, 1.26, 1.94114
FFI39_RS12155, WP_046683714.1, , 4082.7, 5, 3.42, 1.01, 1.34757
FFI39_RS14135, WP_046685088.1, , 1902.7, 5, 1.59, 2.17, 3.75545
FFI39_RS14460, WP_082127819.1, , 1930.0, 5, 1.62, 2.14, 3.70245
FFI39_RS16695, WP_138829107.1, , 1258.0, 5, 1.05, 3.28, 5.38981
FFI39_RS20060, WP_058051234.1, , 2401.7, 5, 2.01, 1.72, 2.92204
FFI39_RS20680, WP_138829164.1, tssM, 2967.3, 5, 2.49, 1.39, 2.23415
FFI39_RS21575, WP_046685784.1, , 1893.7, 5, 1.59, 2.18, 3.77314
FFI39_RS00230, WP_046683230.1, uvrA, 2271.0, 4, 1.90, 1.45, 2.07249
FFI39_RS01540, WP_046681839.1, putA, 2839.7, 4, 2.38, 1.16, 1.52737
FFI39_RS01720, WP_046681861.1, , 904.3, 4, 0.76, 3.65, 4.88517
FFI39_RS03240, WP_046682102.1, , 934.7, 4, 0.78, 3.53, 4.77273
FFI39_RS05555, WP_138828921.1, , 1090.3, 4, 0.91, 3.02, 4.25796
FFI39_RS06605, WP_046685419.1, , 1329.3, 4, 1.11, 2.48, 3.61951
FFI39_RS06815, WP_046685391.1, , 1597.3, 4, 1.34, 2.06, 3.0564
FFI39_RS06895, WP_082127852.1, , 735.7, 4, 0.62, 4.48, 5.60023
FFI39_RS07545, WP_046685298.1, , 1780.7, 4, 1.49, 1.85, 2.73806
FFI39_RS07760, WP_046685609.1, , 784.3, 4, 0.66, 4.20, 5.3762
FFI39_RS07925, WP_046682671.1, , 1404.0, 4, 1.18, 2.35, 3.44879
FFI39_RS08175, WP_046682634.1, , 1656.0, 4, 1.39, 1.99, 2.94939
FFI39_RS09655, WP_082127559.1, , 1004.7, 4, 0.84, 3.28, 4.52943
FFI39_RS09665, WP_046682399.1, , 1039.3, 4, 0.87, 3.17, 4.41648
FFI39_RS09735, WP_046682412.1, , 910.7, 4, 0.76, 3.62, 4.86113
FFI39_RS10625, WP_138829032.1, , 1097.7, 4, 0.92, 3.00, 4.2357
FFI39_RS11045, WP_046684754.1, , 2319.3, 4, 1.94, 1.42, 2.01826
