Identifier, Size, 1B1, 1B2, 1B3, 1B4, 1B5
B4U62_RS00005, 731.3, , , , , 
B4U62_RS00010, 880.7, , , , , 
B4U62_RS00020, 224.0, , , , , 
B4U62_RS00030, 1118.3, , 800:1:0.0434783;200:3:0.119048, , , 
B4U62_RS00035, 1828.3, , , , , 400:1:0.0353982
B4U62_RS00040, 1555.0, , , , , 
B4U62_RS00055, 2108.0, , , , , 
B4U62_RS00080, 503.0, , , , , 
B4U62_RS00085, 9.3, , , , , 
B4U62_RS00090, 919.0, , , , , 
B4U62_RS00095, 94.0, , , , , 
B4U62_RS00105, 228.7, , , , , 
B4U62_RS00110, 560.3, , , , , 400:1:0.00909091
B4U62_RS00120, 366.3, , , , , 400:1:0
B4U62_RS00130, 723.0, , , , 700:1:0.0163934, 
B4U62_RS00135, 125.7, , , , , 
B4U62_RS00140, 443.7, , , , , 
B4U62_RS00145, 199.3, , , , , 
B4U62_RS00155, 1099.0, , , , , 
B4U62_RS00160, 176.0, , , , , 
B4U62_RS00165, 87.0, , , , , 
B4U62_RS00170, 3013.0, , , , , 
B4U62_RS00175, 217.0, , , , , 
B4U62_RS00180, 258.0, , , , , 
B4U62_RS00185, 323.3, , , , , 
B4U62_RS00190, 766.7, , , , , 
B4U62_RS00195, 931.7, , , , , 400:1:0
B4U62_RS00200, 228.3, , , , , 400:1:0.00813008
B4U62_RS00205, 83.0, , , , , 
B4U62_RS00215, 592.3, , , , , 400:1:0.0123457
B4U62_RS00220, 592.7, , , , , 
B4U62_RS00230, 330.7, , , , , 
B4U62_RS00235, 89.0, , , , , 
B4U62_RS00240, 472.0, , , , , 
B4U62_RS00250, 1572.7, , , , , 400:1:0.00714286
B4U62_RS00255, 322.0, , , , , 
B4U62_RS00260, 570.0, , , , , 
B4U62_RS00265, 201.7, , , , , 
B4U62_RS00270, 491.0, , , , , 
B4U62_RS00275, 291.3, , , , , 
B4U62_RS00290, 33.3, , , , , 
B4U62_RS00300, 161.3, , , , , 
B4U62_RS00310, 194.7, , , , , 
B4U62_RS00315, 479.3, , , , , 
B4U62_RS00320, 556.3, , , , , 
B4U62_RS00325, 293.7, , , , , 
B4U62_RS00330, 246.3, , , , , 
B4U62_RS00335, 2822.0, , , , , 
B4U62_RS00340, 328.7, , , , , 400:1:0.015873
B4U62_RS00360, 283.7, , , , , 
B4U62_RS00365, 245.3, , , , , 
B4U62_RS00370, 256.7, , , , , 
B4U62_RS00375, 265.3, 400:3:0.476923, , , , 
B4U62_RS00380, 38.0, , , , , 
B4U62_RS00390, 1753.0, , , , , 
B4U62_RS00395, 441.0, , , , , 
B4U62_RS00400, 765.0, , , , , 
B4U62_RS00405, 880.7, , , , , 
B4U62_RS00410, 336.7, , , , , 
B4U62_RS00415, 330.3, , , , , 
B4U62_RS00425, 125.7, , , , , 
B4U62_RS00430, 61.7, , , , , 
B4U62_RS00435, 558.3, , , , , 
B4U62_RS00440, 1056.3, , , , , 
B4U62_RS00445, 470.7, , , , , 
B4U62_RS00450, 688.3, , , , , 400:1:0.00645161
B4U62_RS00455, 650.7, , , , , 
B4U62_RS00460, 277.3, , , , , 
B4U62_RS00465, 390.3, , , , , 
B4U62_RS00470, 122.7, , , , , 
B4U62_RS00475, 809.3, , , , , 
B4U62_RS00480, 1269.3, , , , , 
B4U62_RS00485, 1655.0, , , , , 
B4U62_RS00490, 3034.0, , , , , 
B4U62_RS00495, 167.0, , , , , 
B4U62_RS00500, 98.0, , , , , 
B4U62_RS00505, 80.0, , , , , 400:1:0.0680272;400:1:0.00671141;400:1:0.0392157;400:1:0.0519481
B4U62_RS00510, 112.0, , , , , 400:1:0.028777
B4U62_RS00515, 89.0, , , , , 400:1:0.0333333;400:1:0.0108696
B4U62_RS00520, 115.0, , , , , 400:1:0.0163934;400:1:0.0168067
B4U62_RS00525, 100.0, , , , , 
B4U62_RS00530, 86.0, , , , , 
B4U62_RS00535, 104.0, , , , , 
B4U62_RS00540, 85.0, , , , , 
B4U62_RS00545, 1655.0, , , 600:3:0.785714, , 
B4U62_RS00550, 3034.0, , , , , 
B4U62_RS00555, 167.0, , , , , 
B4U62_RS00560, 471.3, , , , , 
