Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
FFJ24_RS12165, , , 124.0, 56, 0.04, 400.36, 350.979
FFJ24_RS04715, WP_138823024.1, , 665.0, 54, 0.22, 71.99, 246.051
FFJ24_RS17985, , , 133.0, 49, 0.04, 326.61, 297.438
FFJ24_RS25530, WP_138819969.1, , 1303.3, 43, 0.43, 29.25, 157.933
FFJ24_RS15075, WP_138818002.1, , 1783.7, 37, 0.59, 18.39, 119.254
FFJ24_RS17980, WP_145315349.1, , 825.7, 34, 0.27, 36.50, 132.812
FFJ24_RS04410, , , 185.0, 31, 0.06, 148.55, 164.609
FFJ24_RS04430, WP_138822925.1, , 924.3, 31, 0.31, 29.73, 114.978
FFJ24_RS15120, WP_145315344.1, , 6463.3, 31, 2.15, 4.25, 56.4689
FFJ24_RS25885, WP_121287812.1, , 376.0, 29, 0.12, 68.37, 131.69
FFJ24_RS12170, , , 174.0, 25, 0.06, 127.37, 129.316
FFJ24_RS24015, WP_138819634.1, , 1359.0, 24, 0.45, 15.66, 74.2936
FFJ24_RS09415, WP_138821259.1, , 1090.0, 20, 0.36, 16.27, 62.9881
FFJ24_RS04435, WP_138823996.1, , 1144.3, 19, 0.38, 14.72, 58.0695
FFJ24_RS21985, WP_138819283.1, , 1394.0, 18, 0.46, 11.45, 50.6829
FFJ24_RS05070, WP_138823147.1, , 737.3, 17, 0.25, 20.44, 57.6438
FFJ24_RS06425, WP_138823624.1, , 1009.0, 17, 0.34, 14.94, 52.3958
FFJ24_RS06445, WP_138823632.1, , 1884.0, 17, 0.63, 8.00, 42.0546
FFJ24_RS24385, WP_138819697.1, , 2591.0, 16, 0.86, 5.47, 33.8734
FFJ24_RS24735, WP_138819760.1, , 518.0, 15, 0.17, 25.67, 54.4507
FFJ24_RS07250, WP_138823924.1, , 1513.3, 14, 0.50, 8.20, 35.2818
FFJ24_RS22685, WP_138819403.1, , 573.3, 13, 0.19, 20.10, 44.2818
FFJ24_RS03355, WP_138823969.1, , 2608.7, 12, 0.87, 4.08, 22.498
FFJ24_RS09355, WP_138821250.1, , 401.7, 12, 0.13, 26.48, 44.2737
FFJ24_RS15345, WP_138818049.1, , 1230.7, 12, 0.41, 8.64, 31.092
FFJ24_RS20405, WP_138818996.1, , 1401.7, 12, 0.47, 7.59, 29.5831
FFJ24_RS01540, WP_138820486.1, , 1240.7, 11, 0.41, 7.86, 27.6245
FFJ24_RS04815, WP_138823059.1, , 1471.0, 11, 0.49, 6.63, 25.8215
FFJ24_RS25180, WP_138819862.1, , 289.0, 11, 0.10, 33.74, 43.3621
FFJ24_RS12415, WP_138821787.1, purB, 1159.7, 10, 0.39, 7.64, 24.9882
FFJ24_RS24040, WP_138819639.1, metH, 2984.3, 10, 0.99, 2.97, 16.0845
FFJ24_RS17010, WP_138818341.1, , 756.3, 9, 0.25, 10.55, 25.4557
FFJ24_RS06355, WP_138824028.1, , 2618.7, 8, 0.87, 2.71, 12.4854
FFJ24_RS13285, WP_138821946.1, clpB, 2149.7, 8, 0.71, 3.30, 13.9269
FFJ24_RS13510, WP_138821989.1, , 957.0, 8, 0.32, 7.41, 20.0509
FFJ24_RS15105, WP_138818008.1, , 797.0, 8, 0.26, 8.90, 21.4674
FFJ24_RS18300, WP_138818598.1, , 968.0, 8, 0.32, 7.33, 19.9627
FFJ24_RS21010, WP_138819111.1, , 2744.3, 8, 0.91, 2.58, 12.1473
FFJ24_RS01885, WP_138820543.1, , 525.7, 7, 0.17, 11.80, 20.8899
FFJ24_RS04790, WP_138823051.1, , 2828.3, 7, 0.94, 2.19, 9.77519
FFJ24_RS14935, WP_138817991.1, , 1462.0, 7, 0.49, 4.24, 14.0011
FFJ24_RS15110, WP_138818009.1, , 2095.0, 7, 0.70, 2.96, 11.6654
FFJ24_RS21575, WP_138819216.1, , 1557.0, 7, 0.52, 3.99, 13.5879
FFJ24_RS23535, WP_138819551.1, , 2438.0, 7, 0.81, 2.55, 10.7027
FFJ24_RS23865, WP_138819609.1, , 735.0, 7, 0.24, 8.44, 18.6046
FFJ24_RS11060, WP_138821555.1, , 1818.3, 6, 0.60, 2.93, 10.1163
FFJ24_RS14410, WP_138822247.1, , 939.0, 6, 0.31, 5.66, 13.833
FFJ24_RS16165, WP_138818190.1, , 497.7, 6, 0.17, 10.69, 17.5167
FFJ24_RS17990, , , 174.0, 6, 0.06, 30.57, 23.7303
FFJ24_RS18620, WP_029274186.1, , 629.3, 6, 0.21, 8.45, 16.1464
FFJ24_RS02925, WP_138822399.1, , 418.3, 5, 0.14, 10.60, 14.7687
FFJ24_RS09610, WP_138821294.1, , 218.3, 5, 0.07, 20.30, 17.9651
FFJ24_RS15525, WP_138818080.1, , 524.0, 5, 0.17, 8.46, 13.6714
FFJ24_RS21900, WP_138819269.1, metE, 1943.0, 5, 0.65, 2.28, 7.50796
FFJ24_RS25155, WP_138819854.1, , 1366.7, 5, 0.45, 3.24, 9.10971
FFJ24_RS25540, WP_138819972.1, , 930.3, 5, 0.31, 4.76, 10.9132
FFJ24_RS02920, WP_029275370.1, gldC, 375.0, 4, 0.12, 9.46, 11.6071
FFJ24_RS03295, WP_138822526.1, rseP, 1120.7, 4, 0.37, 3.16, 7.42455
FFJ24_RS06035, WP_138823490.1, , 1286.3, 4, 0.43, 2.76, 6.91671
FFJ24_RS12115, WP_138821740.1, , 1004.0, 4, 0.33, 3.53, 7.83375
FFJ24_RS21345, WP_138819173.1, , 302.0, 4, 0.10, 11.74, 12.4538
FFJ24_RS11710, WP_138821672.1, , 703.0, 3, 0.23, 3.78, 6.32782
FFJ24_RS14150, WP_138822153.1, , 580.0, 3, 0.19, 4.59, 6.87448
FFJ24_RS22485, WP_138819368.1, , 420.0, 3, 0.14, 6.33, 7.80326
FFJ24_RS23940, WP_138819623.1, , 719.7, 3, 0.24, 3.70, 6.2615
