Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
B4U62_RS02030, WP_010886402.1, , 8424.3, 6, 5.02, 0.51, 0.95011
B4U62_RS01470, WP_003246395.1, , 1117.3, 4, 0.67, 2.57, 5.33501
B4U62_RS02010, WP_003246498.1, , 1438.3, 4, 0.86, 2.00, 4.47357
B4U62_RS02495, WP_003234364.1, , 1060.3, 4, 0.63, 2.71, 5.51794
B4U62_RS14845, WP_004398509.1, mnmA, 911.3, 4, 0.54, 3.15, 6.05418
B4U62_RS16145, WP_003229232.1, , 901.7, 4, 0.54, 3.19, 6.09205
B4U62_RS20770, WP_003243034.1, , 1604.3, 4, 0.96, 1.79, 4.11314
B4U62_RS00030, WP_003226808.1, , 1118.3, 3, 0.67, 1.93, 3.50299
B4U62_RS00575, WP_003235011.1, , 1873.3, 3, 1.12, 1.15, 2.27627
B4U62_RS00690, WP_004399688.1, rpoC, 2827.3, 3, 1.68, 0.76, 1.43408
B4U62_RS00940, WP_003235130.1, , 698.3, 3, 0.42, 3.08, 4.73352
B4U62_RS01220, WP_003246417.1, , 1159.3, 3, 0.69, 1.86, 3.41262
B4U62_RS01440, WP_003234841.1, , 651.7, 3, 0.39, 3.31, 4.92034
B4U62_RS01510, WP_003234816.1, gudD, 1092.7, 3, 0.65, 1.97, 3.56143
B4U62_RS01610, WP_003246449.1, , 544.7, 3, 0.32, 3.95, 5.41148
B4U62_RS01630, WP_003246276.1, , 952.7, 3, 0.57, 2.26, 3.91224
B4U62_RS01715, WP_003246351.1, , 864.3, 3, 0.51, 2.49, 4.16603
B4U62_RS01895, WP_072175235.1, putP, 1190.0, 3, 0.71, 1.81, 3.34741
B4U62_RS01925, WP_003234641.1, cobA, 1184.0, 3, 0.70, 1.82, 3.36
B4U62_RS01940, WP_003246484.1, , 1660.0, 3, 0.99, 1.30, 2.54913
B4U62_RS02040, WP_003234570.1, , 3012.7, 3, 1.79, 0.71, 1.3181
B4U62_RS02045, WP_003234568.1, , 598.3, 3, 0.36, 3.60, 5.15343
B4U62_RS02355, WP_003234419.1, , 771.3, 3, 0.46, 2.79, 4.46709
B4U62_RS02380, WP_003246590.1, , 1632.7, 3, 0.97, 1.32, 2.58734
B4U62_RS09090, WP_003244678.1, truB, 804.3, 3, 0.48, 2.68, 4.35578
B4U62_RS09365, WP_003245624.1, , 6006.7, 3, 3.58, 0.36, 0.366776
B4U62_RS09965, WP_009967356.1, , 5942.3, 3, 3.54, 0.36, 0.376811
B4U62_RS12400, WP_003230562.1, , 687.7, 3, 0.41, 3.13, 4.77477
B4U62_RS13750, WP_004398786.1, dnaK, 1438.0, 3, 0.86, 1.50, 2.88563
B4U62_RS18290, WP_003228338.1, , 1541.7, 3, 0.92, 1.40, 2.72082
B4U62_RS20225, WP_003242889.1, , 428.3, 3, 0.25, 5.03, 6.08152
B4U62_RS21610, WP_003243164.1, rlmH, 454.7, 3, 0.27, 4.74, 5.9137
B4U62_RS22175, WP_020846130.1, , 3586.3, 3, 2.13, 0.60, 1.02218
